,cost
2023-03-31,9999.999999997943
2023-04-28,7602.761739148513
2023-05-31,9571.000496073613
2023-06-30,10789.330332149528
2023-07-31,9015.73308573781
2023-08-31,7813.287461958881
2023-09-29,12259.442820283006
2023-10-31,11894.878734371216
2023-11-30,8580.835533956762
2023-12-29,9090.861829242956
2024-01-31,10698.751535912537
2024-02-29,9595.682609982327
2024-03-28,14004.492098212995
2024-04-30,7895.577991692048
2024-05-31,13436.757226219694
2024-06-28,12502.34550550368
2024-07-31,11016.77161614798
2024-08-30,13125.021080593395
2024-09-30,8452.251075805698
2024-10-31,7999.043758321766
2024-11-29,18956.925104479997
2024-12-31,7952.9601282427175
2025-01-31,21887.737167506893
2025-02-28,15020.132445663388
2025-03-31,14917.804095251831
2025-04-30,9130.186025491948
2025-05-30,12693.261758365623
2025-06-30,11170.234440658713
2025-07-31,13658.515436421158
2025-08-29,14192.820505214733
2025-09-30,17327.413755659694
2025-10-31,8506.356547944557
2025-11-28,13151.667577230248
2025-12-31,16178.639604009877
2026-01-30,16574.640673197442
