,rebalance_date,ticker,weight
0,2021-03-31,TSLA,0.02
1,2021-03-31,AAPL,0.02
2,2021-03-31,AMZN,0.02
3,2021-03-31,NIO,0.02
4,2021-03-31,BABA,0.02
5,2021-03-31,MSFT,0.02
6,2021-03-31,META,0.02
7,2021-03-31,NVDA,0.02
8,2021-03-31,AMD,0.02
9,2021-03-31,ZM,0.02
10,2021-03-31,GOOGL,0.02
11,2021-03-31,GOOG,0.02
12,2021-03-31,NFLX,0.02
13,2021-03-31,CRM,0.02
14,2021-03-31,INTC,0.02
15,2021-03-31,XYZ,0.02
16,2021-03-31,PYPL,0.02
17,2021-03-31,DIS,0.02
18,2021-03-31,JPM,0.02
19,2021-03-31,PLUG,0.02
20,2021-03-31,PFE,0.02
21,2021-03-31,PLTR,0.02
22,2021-03-31,BAC,0.02
23,2021-03-31,SHOP,0.02
24,2021-03-31,SNOW,0.02
25,2021-03-31,C,0.02
26,2021-03-31,XOM,0.02
27,2021-03-31,MU,0.02
28,2021-03-31,T,0.02
29,2021-03-31,AAL,0.02
30,2021-03-31,QCOM,0.02
31,2021-03-31,UBER,0.02
32,2021-03-31,TSM,0.02
33,2021-03-31,JD,0.02
34,2021-03-31,WFC,0.02
35,2021-03-31,WMT,0.02
36,2021-03-31,SNAP,0.02
37,2021-03-31,VZ,0.02
38,2021-03-31,QS,0.02
39,2021-03-31,CCL,0.02
40,2021-03-31,CVX,0.02
41,2021-03-31,CSCO,0.02
42,2021-03-31,KO,0.02
43,2021-03-31,CMCSA,0.02
44,2021-03-31,PINS,0.02
45,2021-03-31,DKNG,0.02
46,2021-03-31,DOCU,0.02
47,2021-03-31,UAL,0.02
48,2021-03-31,NKE,0.02
49,2021-03-31,MS,0.02
50,2021-04-30,TSLA,0.02
51,2021-04-30,AAPL,0.02
52,2021-04-30,AMZN,0.02
53,2021-04-30,NIO,0.02
54,2021-04-30,BABA,0.02
55,2021-04-30,MSFT,0.02
56,2021-04-30,META,0.02
57,2021-04-30,NVDA,0.02
58,2021-04-30,AMD,0.02
59,2021-04-30,ZM,0.02
60,2021-04-30,GOOGL,0.02
61,2021-04-30,GOOG,0.02
62,2021-04-30,NFLX,0.02
63,2021-04-30,CRM,0.02
64,2021-04-30,INTC,0.02
65,2021-04-30,XYZ,0.02
66,2021-04-30,PYPL,0.02
67,2021-04-30,DIS,0.02
68,2021-04-30,JPM,0.02
69,2021-04-30,PLUG,0.02
70,2021-04-30,PFE,0.02
71,2021-04-30,PLTR,0.02
72,2021-04-30,BAC,0.02
73,2021-04-30,SHOP,0.02
