,strategy_return
2021-04-01,10052885.612031028
2021-04-05,10026012.303263038
2021-04-06,10065475.594192011
2021-04-07,9917837.95789949
2021-04-08,9875006.010781635
2021-04-09,9831660.527555885
2021-04-12,9504042.153019112
2021-04-13,9443133.859933292
2021-04-14,9445679.733607031
2021-04-15,9245921.39880464
2021-04-16,9296184.500217225
2021-04-19,9068720.652648162
2021-04-20,8719107.91730487
2021-04-21,9020222.758517398
2021-04-22,8764359.277845385
2021-04-23,9085998.71695126
2021-04-26,9340829.838281205
2021-04-27,9281490.038167054
2021-04-28,9354992.442365779
2021-04-29,9284002.70764529
2021-04-30,9307311.121333398
2021-05-03,9340603.865585417
2021-05-04,9150885.893847752
2021-05-05,9161980.238592692
2021-05-06,9144910.110994792
2021-05-07,9301940.608617429
2021-05-10,9217773.528849019
2021-05-11,9051907.087056067
2021-05-12,8840355.686545309
2021-05-13,8993962.399115821
2021-05-14,9420037.985146808
2021-05-17,9579385.080941333
2021-05-18,9553040.018694228
2021-05-19,9435285.059639355
2021-05-20,9358299.950676292
2021-05-21,9332209.957173718
2021-05-24,9486783.482939908
2021-05-25,9585663.404149404
2021-05-26,9746233.824124835
2021-05-27,9895539.19716082
2021-05-28,9810973.961910106
2021-06-01,9898961.27993095
2021-06-02,9944720.08140724
2021-06-03,9879084.376794564
2021-06-04,9984634.141457602
2021-06-07,10066555.935189763
2021-06-08,9995243.033455942
2021-06-09,9862210.94845404
2021-06-10,9772426.0759093
2021-06-11,9841289.174747039
2021-06-14,9786617.797624717
2021-06-15,9795694.792804511
2021-06-16,9796636.187952738
2021-06-17,9569349.427403068
2021-06-18,9388209.711759225
2021-06-21,9579934.694428382
2021-06-22,9654869.324273005
2021-06-23,9721468.906595688
2021-06-24,9835172.89863146
2021-06-25,9966621.661445426
2021-06-28,9978068.345637001
2021-06-29,9829529.373989344
2021-06-30,9877353.43446925
2021-07-01,9788110.456023848
2021-07-02,9824826.601000868
2021-07-06,9978244.22391105
2021-07-07,9691179.949924134
2021-07-08,9557091.997426579
2021-07-09,9585245.72485574
2021-07-12,9719329.301455997
2021-07-13,9557490.152065989
2021-07-14,9275946.527797023
2021-07-15,9157920.327880336
2021-07-16,9001712.418306818
2021-07-19,9231108.320138374
2021-07-20,9368825.31972728
2021-07-21,9703834.192839665
2021-07-22,9756455.867153192
2021-07-23,9651402.108305262
2021-07-26,9508689.634727417
2021-07-27,9225629.487026036
2021-07-28,9456442.89705838
2021-07-29,9498161.005406238
2021-07-30,9553804.849900983
2021-08-02,9612566.111616408
2021-08-03,9638019.624470701
2021-08-04,9934657.768212026
2021-08-05,9967700.729184011
2021-08-06,9841507.968242519
2021-08-09,9856793.057614997
2021-08-10,9702684.631650817
2021-08-11,9549110.446950715
2021-08-12,9610727.522992764
2021-08-13,9718093.711947672
2021-08-16,9513097.16225366
2021-08-17,9407158.829294842
2021-08-18,9272065.246248208
2021-08-19,9424591.705538016
2021-08-20,9600063.8756661
2021-08-23,9930878.628929807
2021-08-24,9958519.732838588
2021-08-25,10110390.409718173
2021-08-26,10001548.533658175
2021-08-27,10236174.860217996
2021-08-30,10291675.243553864
2021-08-31,10118931.640902244
2021-09-01,10122126.16202173
2021-09-02,10059625.328437353
2021-09-03,10353487.096841019
2021-09-07,10060775.301142735
2021-09-08,9803052.145837035
2021-09-09,9774697.831097826
2021-09-10,9736678.554161014
2021-09-13,9597536.949432936
2021-09-14,9588271.599410597
2021-09-15,9679522.130221974
2021-09-16,9729566.46433134
2021-09-17,9630421.631161569
2021-09-20,9368775.953182057
2021-09-21,9418610.153372558
2021-09-22,9598609.565768428
2021-09-23,9716256.659296606
2021-09-24,9631921.81873038
2021-09-27,9510965.46637333
2021-09-28,9142890.194855455
2021-09-29,9057960.478930017
2021-09-30,9157718.032677596
2021-10-01,9192452.04695069
2021-10-04,8979977.272026515
2021-10-05,9166789.714294229
2021-10-06,9318134.921750441
2021-10-07,9546323.512734504
2021-10-08,9411892.990205565
2021-10-11,9339390.329315506
2021-10-12,9432610.604101611
2021-10-13,9693817.481082162
2021-10-14,9839727.94153281
2021-10-15,9906688.72949793
2021-10-18,10074197.419159042
2021-10-19,10096396.52514809
2021-10-20,9992057.278334882
2021-10-21,10235345.834052054
2021-10-22,9927460.49170707
2021-10-25,10187779.995740246
2021-10-26,10209527.855032379
2021-10-27,10199190.385768548
2021-10-28,10335657.5606223
2021-10-29,10436985.673735395
2021-11-01,11168661.994665165
2021-11-02,10995294.75276765
2021-11-03,11006816.33515666
2021-11-04,11089667.262502056
2021-11-05,10880458.472811034
2021-11-08,11006644.489043092
2021-11-09,10489036.458308265
2021-11-10,10535428.201550245
2021-11-11,10912003.365281543
2021-11-12,10856681.968216024
2021-11-15,10674029.376333851
2021-11-16,11012155.877435416
2021-11-17,11024701.524954656
2021-11-18,10878142.917320991
2021-11-19,11456045.317749515
2021-11-22,11174660.254590545
2021-11-23,10867697.299327768
2021-11-24,11021637.97165317
2021-11-26,10654328.57635521
2021-11-29,11021733.328481028
2021-11-30,10729432.75592727
2021-12-01,10113473.216075687
2021-12-02,10079887.333627682
2021-12-03,9388361.798803436
2021-12-06,9395890.864896046
2021-12-07,9950186.250059493
2021-12-08,10008485.787780564
2021-12-09,9431932.99815995
2021-12-10,9333637.519314053
2021-12-13,8930834.583090905
2021-12-14,8732289.670895629
2021-12-15,9008019.245273188
2021-12-16,8518484.806944173
2021-12-17,8531025.108914498
2021-12-20,8117943.666789024
2021-12-21,8532353.485153666
2021-12-22,8796281.359092351
2021-12-23,9078545.397415899
2021-12-27,9261804.600732556
2021-12-28,9044157.988018245
2021-12-29,8956875.066818591
2021-12-30,9006209.028121455
2021-12-31,8864278.755417505
2022-01-03,9375808.136698648
2022-01-04,9108489.382121222
2022-01-05,8706837.609127462
2022-01-06,8698957.984401142
2022-01-07,8429280.210925408
2022-01-10,8518525.975341624
2022-01-11,8683275.637184426
2022-01-12,8813919.130833695
2022-01-13,8413527.098547643
2022-01-14,8574461.217885101
2022-01-18,8287723.38991431
2022-01-19,8024787.624345997
2022-01-20,7819816.1782715535
2022-01-21,7562757.421591426
2022-01-24,7537472.727638074
2022-01-25,7312490.896409614
2022-01-26,7413820.197734221
2022-01-27,6935842.8389599435
2022-01-28,7145711.595387064
2022-01-31,7702045.515900887
2022-02-01,7887909.177920965
2022-02-02,7979958.934578924
2022-02-03,7837988.6906771315
2022-02-04,7899135.0037134485
2022-02-07,7928839.023615512
2022-02-08,7933137.340143484
2022-02-09,8016675.322183735
2022-02-10,7902439.681410596
2022-02-11,7896934.1491711885
2022-02-14,7842084.342905195
2022-02-15,7943223.9973829305
2022-02-16,7950257.15571648
2022-02-17,7843384.782070984
2022-02-18,7771486.6034306735
2022-02-22,7680572.137118828
2022-02-23,7620999.547020562
2022-02-24,7662970.215853291
2022-02-25,7842365.1103051
2022-02-28,7898561.610790577
2022-03-01,8042117.565179602
2022-03-02,8205785.468732219
2022-03-03,8269975.181528291
2022-03-04,8443526.471713591
2022-03-07,8591524.302762266
2022-03-08,8730096.411317429
2022-03-09,8460041.683929924
2022-03-10,8625398.855573498
2022-03-11,8609652.31861186
2022-03-14,8437294.840367004
2022-03-15,8108233.816727876
2022-03-16,8082496.337931168
2022-03-17,8240205.991709023
2022-03-18,8253845.601738389
2022-03-21,8472356.270635784
2022-03-22,8455895.55648585
2022-03-23,8530723.305006478
2022-03-24,8566346.866199654
2022-03-25,8719212.160726445
2022-03-28,8571371.499605745
2022-03-29,8518003.403557321
2022-03-30,8598822.9422127
2022-03-31,8487364.624701314
2022-04-01,8562787.846232874
2022-04-04,8572171.572422013
2022-04-05,8524935.413028596
2022-04-06,8603033.668931713
2022-04-07,8726228.35968778
2022-04-08,8863926.067386776
2022-04-11,8636487.239636743
2022-04-12,8788735.379747124
2022-04-13,8905734.759352341
2022-04-14,8948189.514337981
2022-04-18,9013650.715973
2022-04-19,8953530.306504361
2022-04-20,8985939.7448808
2022-04-21,8793192.979982035
2022-04-22,8613529.985417344
2022-04-25,8439989.927368425
2022-04-26,8378381.054465995
2022-04-27,8476179.810358018
2022-04-28,8730997.818834264
2022-04-29,8516564.340333682
2022-05-02,8613151.388436574
2022-05-03,8740176.75535252
2022-05-04,9014166.796867074
2022-05-05,8918089.999205902
2022-05-06,9050124.328404985
2022-05-09,8530115.779930515
2022-05-10,8573690.425473468
2022-05-11,8698361.481815422
2022-05-12,8761576.901204627
2022-05-13,8931158.152621998
2022-05-16,9142564.43415521
2022-05-17,9104065.51285507
2022-05-18,8875896.248746421
2022-05-19,8843280.686844176
2022-05-20,8905957.12093534
2022-05-23,9096365.269099347
2022-05-24,9155305.383914784
2022-05-25,9272248.556703435
2022-05-26,9317502.89398165
2022-05-27,9416730.758512987
2022-05-31,9270751.354265695
2022-06-01,9341833.46289997
2022-06-02,9306446.263472037
2022-06-03,9360424.603097644
2022-06-06,9342005.858615512
2022-06-07,9584118.929175287
2022-06-08,9614943.495260734
2022-06-09,9440743.124141224
2022-06-10,9313187.586163228
2022-06-13,8924441.84817015
2022-06-14,8919031.324896554
2022-06-15,8831553.270594
2022-06-16,8553063.502990918
2022-06-17,8281175.256031685
2022-06-21,8677088.505847853
2022-06-22,8489800.475807915
2022-06-23,8379056.571382995
2022-06-24,8523916.736611519
2022-06-27,8658570.27252326
2022-06-28,8733986.082911322
2022-06-29,8595326.185041923
2022-06-30,8442949.363777867
2022-07-01,8551172.004258454
2022-07-05,8530343.504467962
2022-07-06,8448858.213666465
2022-07-07,8574852.810861876
2022-07-08,8562672.331373943
2022-07-11,8491610.121819563
