gamma,lambda,vol,finalV,err
25.0,0.019306977288832496,0.16492567524483373,13946519.332994208,0.014925675244833736
26.0,0.019306977288832496,0.16134789914825556,13814935.910402916,0.011347899148255569
27.0,0.019306977288832496,0.15801831214201797,13695294.961556334,0.00801831214201798
28.0,0.019306977288832496,0.15490483366317653,13578673.928439,0.004904833663176539
29.0,0.019306977288832496,0.151910216178276,13473684.517643813,0.0019102161782759974
30.0,0.019306977288832496,0.14910050889696996,13373189.656281749,0.0008994911030300312
31.0,0.019306977288832496,0.146396026204032,13279810.866637336,0.0036039737959679963
32.0,0.019306977288832496,0.14387340027232134,13194683.700580021,0.00612659972767865
33.0,0.019306977288832496,0.14144497613909024,13110359.816358803,0.008555023860909755
34.0,0.019306977288832496,0.13911388157864188,13029425.53465857,0.010886118421358115
35.0,0.019306977288832496,0.1369163010031582,12953583.016892817,0.013083698996841808
