,SPY
2023-04-03,10000000.0
2023-04-04,9944520.506302616
2023-04-05,9918481.184502468
2023-04-06,9957174.223726528
2023-04-10,9967392.1659621
2023-04-11,9970071.903467882
2023-04-12,9929431.783287581
2023-04-13,10061322.275760535
2023-04-14,10036744.41907339
2023-04-17,10072759.2599861
2023-04-18,10079328.541821066
2023-04-19,10077624.653585054
2023-04-20,10022630.00613369
2023-04-21,10030418.32995865
2023-04-24,10040881.773706097
2023-04-25,9881493.57270885
2023-04-26,9839640.567316283
2023-04-27,10035527.685875043
2023-04-28,10121183.086408067
2023-05-01,10110963.604978062
2023-05-02,9997324.110480297
2023-05-03,9928702.205126902
2023-05-04,9858376.411537495
2023-05-05,10040881.773706097
2023-05-08,10043557.663225798
2023-05-09,9999513.614559548
2023-05-10,10046235.091939932
2023-05-11,10028714.441722635
2023-05-12,10015574.338858271
2023-05-15,10050129.253852412
2023-05-16,9982967.274417588
2023-05-17,10104148.821631223
2023-05-18,10201485.938304469
2023-05-19,10186641.177606877
2023-05-22,10190778.532239582
2023-05-23,10076409.459581139
2023-05-24,10003406.237277597
2023-05-25,10090035.947885957
2023-05-26,10220708.167966131
2023-05-30,10224601.560281394
2023-05-31,10167904.56378845
2023-06-01,10264509.793509372
2023-06-02,10412946.626124285
2023-06-05,10392992.509510297
2023-06-06,10415623.285241202
2023-06-07,10379608.444328493
2023-06-08,10442391.415604815
2023-06-09,10461126.49022881
2023-06-12,10556030.140505364
2023-06-13,10625624.047142448
2023-06-14,10638276.994969143
2023-06-15,10770168.257039314
2023-06-16,10733482.327354334
2023-06-20,10677793.503214223
2023-06-21,10623085.145927176
2023-06-22,10661429.557612432
2023-06-23,10580830.410787906
2023-06-26,10537599.826378867
2023-06-27,10653126.373250032
2023-06-28,10658499.70101148
2023-06-29,10700508.934638876
2023-06-30,10826783.676227374
2023-07-03,10839238.067972366
2023-07-05,10823119.623882448
2023-07-06,10738366.960883683
2023-07-07,10711257.12935621
2023-07-10,10738366.960883683
2023-07-11,10806754.908683442
2023-07-12,10893704.77173362
2023-07-13,10980167.479746126
2023-07-14,10973328.838885592
2023-07-17,11011429.288253408
2023-07-18,11093251.325054005
2023-07-19,11117920.763809845
2023-07-20,11044158.71865142
2023-07-21,11044158.71865142
2023-07-24,11093496.056968663
2023-07-25,11123782.785803393
2023-07-26,11125492.06121992
2023-07-27,11051730.016061494
2023-07-28,11159930.767034456
2023-07-31,11181178.576568382
2023-08-01,11149182.572317127
2023-08-02,10994088.723784631
2023-08-03,10962582.183362693
2023-08-04,10913000.882728005
2023-08-07,11008253.930140581
2023-08-08,10960382.674519638
2023-08-09,10887110.093190527
2023-08-10,10891018.107852893
2023-08-11,10884667.391627243
2023-08-14,10944752.155064603
2023-08-15,10817258.371486116
2023-08-16,10737879.805846013
2023-08-17,10656057.769045414
2023-08-18,10661184.825697774
2023-08-21,10730550.931558952
2023-08-22,10701487.092700293
2023-08-23,10820675.383124733
2023-08-24,10670711.669633463
2023-08-25,10745937.488696542
2023-08-28,10814082.243776076
2023-08-29,10970397.44309021
2023-08-30,11015582.03483043
2023-08-31,10999462.051546082
2023-09-01,11019978.743724896
2023-09-05,10972351.450421393
2023-09-06,10898590.174860183
2023-09-07,10865129.627107061
2023-09-08,10881492.03351442
2023-09-11,10953057.648218652
2023-09-12,10892972.884781292
2023-09-13,10905672.778038157
2023-09-14,10999706.013863524
2023-09-15,10867178.2948958
2023-09-18,10873551.329440711
2023-09-19,10851001.361417474
2023-09-20,10751245.400694638
2023-09-21,10573543.864347717
2023-09-22,10549768.69755676
2023-09-25,10594132.898664825
2023-09-26,10438491.866511824
2023-09-27,10442657.696241517
2023-09-28,10503198.061230695
2023-09-29,10477709.001439916
2023-10-02,10473541.63251579
2023-10-03,10333342.568499923
2023-10-04,10408588.397090614
2023-10-05,10404668.83847001
2023-10-06,10528199.196386587
2023-10-09,10595603.59894442
2023-10-10,10650752.93543618
2023-10-11,10694380.632008627
2023-10-12,10629182.664668793
2023-10-13,10576238.993797814
2023-10-16,10687516.594439967
2023-10-17,10687025.591416221
2023-10-18,10544620.092182355
2023-10-19,10451971.361748403
2023-10-20,10323537.130372077
2023-10-23,10305644.7646995
2023-10-24,10383342.530020064
2023-10-25,10234320.033923846
2023-10-26,10111767.064471468
2023-10-27,10065932.932681024
2023-10-30,10186277.927720968
2023-10-31,10250252.235487513
2023-11-01,10359567.363229107
2023-11-02,10558103.435405012
2023-11-03,10654429.301336559
2023-11-06,10678938.66387149
2023-11-07,10709331.597122014
2023-11-08,10717175.33194652
2023-11-09,10633594.765507577
2023-11-10,10799529.160423309
2023-11-13,10789235.028063362
2023-11-14,10998553.157234099
2023-11-15,11021839.629792955
2023-11-16,11035319.89462675
2023-11-17,11049044.8913752
2023-11-20,11134097.69728817
2023-11-21,11109830.75787625
2023-11-22,11152723.489107506
2023-11-24,11159585.987481732
2023-11-27,11139490.264980016
2023-11-28,11150517.823486721
2023-11-29,11142674.088662216
2023-11-30,11186548.056343751
2023-12-01,11252728.02973108
2023-12-04,11193657.595424281
2023-12-05,11191450.390609069
2023-12-06,11146353.53295146
2023-12-07,11231403.260475565
2023-12-08,11279687.78980145
2023-12-11,11323562.527080202
2023-12-12,11375278.69039181
2023-12-13,11532146.460506964
2023-12-14,11569157.160217056
2023-12-15,11550109.629123406
2023-12-18,11615077.486895684
2023-12-19,11685707.271385375
2023-12-20,11523776.32118678
2023-12-21,11633042.964303773
2023-12-22,11656422.558125755
2023-12-26,11705642.148068964
2023-12-27,11726806.071506355
2023-12-28,11731236.642678322
2023-12-29,11697274.31754043
2024-01-02,11631813.147952756
2024-01-03,11536819.454801941
2024-01-04,11499658.683634745
2024-01-05,11515409.26025546
2024-01-08,11679802.92154495
2024-01-09,11662083.715245953
2024-01-10,11728037.427051803
2024-01-11,11722869.581747001
2024-01-12,11730990.371569231
2024-01-16,11687922.941769967
2024-01-17,11622952.77520604
2024-01-18,11726312.75969096
2024-01-19,11872496.98125492
2024-01-22,11897598.164048882
2024-01-23,11932297.76331961
2024-01-24,11945341.666531987
2024-01-25,12010311.063498698
2024-01-26,11995053.02909616
2024-01-29,12090046.722246977
2024-01-30,12080694.576879298
2024-01-31,11883570.71559458
2024-02-01,12039105.543331787
2024-02-02,12165845.121638687
2024-02-05,12121547.875488406
2024-02-06,12156739.2473801
2024-02-07,12258131.37178395
2024-02-08,12263545.488197843
2024-02-09,12334422.313393839
2024-02-12,12329008.196979947
2024-02-13,12159200.419276563
2024-02-14,12269697.648341786
2024-02-15,12354355.650882998
2024-02-16,12292831.740651894
2024-02-20,12225154.900679631
2024-02-21,12236230.174213722
2024-02-22,12489463.82931565
2024-02-23,12498077.16135606
2024-02-26,12452303.058148457
2024-02-27,12475434.841666916
2024-02-28,12458947.76051058
2024-02-29,12503737.548879044
2024-03-01,12621125.75141548
2024-03-04,12607591.614776574
2024-03-05,12481587.001810864
2024-03-06,12544836.349000024
2024-03-07,12669361.796116767
2024-03-08,12593317.125615966
2024-03-11,12582488.892788181
2024-03-12,12717844.11192714
2024-03-13,12697907.696049118
2024-03-14,12672806.513255157
2024-03-15,12585787.38645555
2024-03-18,12660586.848661017
2024-03-19,12730944.195736278
2024-03-20,12848697.187353056
2024-03-21,12891157.404948972
2024-03-22,12866718.845357904
2024-03-25,12831171.149955247
2024-03-26,12807471.40369145
2024-03-27,12915100.343932996
2024-03-28,12912636.093647666
2024-04-01,12890167.702929318
2024-04-02,12808211.75621315
2024-04-03,12822281.532514328
2024-04-04,12665771.625104569
2024-04-05,12798088.474435134
2024-04-08,12805247.267737485
2024-04-09,12820059.70535201
2024-04-10,12691690.889739038
2024-04-11,12787474.189633371
2024-04-12,12610968.607359966
2024-04-15,12452977.22530959
2024-04-16,12430265.641871015
2024-04-17,12356698.304808214
2024-04-18,12331273.121586354
2024-04-19,12223641.102955947
2024-04-22,12336209.31812917
2024-04-23,12482599.022149779
2024-04-24,12476674.66278174
2024-04-25,12429277.479045793
2024-04-26,12547031.240259785
2024-04-29,12591464.705117283
2024-04-30,12392001.268296212
2024-05-01,12351762.108265396
2024-05-02,12467293.272719856
2024-05-03,12621829.932868034
2024-05-06,12752173.534937019
2024-05-07,12766244.850432629
2024-05-08,12767479.284366941
2024-05-09,12841043.54304088
2024-05-10,12857584.496002328
2024-05-13,12859310.702557603
2024-05-14,12918311.103517752
2024-05-15,13078278.041621355
2024-05-16,13051369.84456445
2024-05-17,13070131.085493786
2024-05-20,13085190.563814618
2024-05-21,13117282.767717859
2024-05-22,13079514.0147501
2024-05-23,12983979.294756502
2024-05-24,13069886.353579128
2024-05-28,13079019.933337491
2024-05-29,12987434.786255918
2024-05-30,12901277.608338125
2024-05-31,13018783.559248596
2024-06-03,13029400.922439223
2024-06-04,13043963.24095858
2024-06-05,13198993.98251937
2024-06-06,13198746.172215847
2024-06-07,13182700.070264226
2024-06-10,13223433.311707651
2024-06-11,13255279.244501805
2024-06-12,13364146.466663742
2024-06-13,13391054.663720649
2024-06-14,13399200.080653789
2024-06-17,13505843.16686176
2024-06-18,13540157.967524538
2024-06-20,13503375.838187568
2024-06-21,13485273.372475049
2024-06-24,13441435.575862661
2024-06-25,13493198.68460444
2024-06-26,13510037.471688444
2024-06-27,13531336.844235834
2024-06-28,13478088.412867358
2024-07-01,13505827.77491744
2024-07-02,13596718.745310267
2024-07-03,13657395.329006659
2024-07-05,13736151.290499093
2024-07-08,13752001.914757874
2024-07-09,13765374.435981441
2024-07-10,13901586.98641892
2024-07-11,13781717.6024584
