gamma,lambda,vol,finalV,err
95.0,0.0013894954943731374,0.1490596596949511,10896195.151547221,0.007559659694951093
96.0,0.0013894954943731374,0.14780654426654039,10898154.84389783,0.00630654426654037
97.0,0.0013894954943731374,0.14655193800918198,10904568.211099505,0.0050519380091819666
98.0,0.0013894954943731374,0.14532244493247665,10913582.430635896,0.003822444932476632
99.0,0.0013894954943731374,0.14413407391588104,10918499.013542032,0.0026340739158810245
100.0,0.0013894954943731374,0.14293264523500285,10927063.945381816,0.001432645235002833
