,strategy_risk
2023-04-03,10018008.364364602
2023-04-04,10018137.745439716
2023-04-05,10000973.10327696
2023-04-06,10008442.11530258
2023-04-10,10008432.090433566
2023-04-11,9999960.459111655
2023-04-12,9984597.4966738
2023-04-13,10020421.840661695
2023-04-14,10022557.610380234
2023-04-17,10024641.9311861
2023-04-18,10047684.949822051
2023-04-19,10050129.728454012
2023-04-20,9980991.783730917
2023-04-21,9984920.612161342
2023-04-24,9973843.669657279
2023-04-25,9946864.080293886
2023-04-26,9957580.64532497
2023-04-27,9998540.455211671
2023-04-28,10021603.281268867
2023-05-01,10041796.787539234
2023-05-02,10007685.043569745
2023-05-03,9995988.660642764
2023-05-04,9985308.556563959
2023-05-05,10056102.933032557
2023-05-08,10063635.01876561
2023-05-09,10040825.744075967
2023-05-10,10055775.749581175
2023-05-11,10038764.810968524
2023-05-12,10030390.171034254
2023-05-15,10046510.832434429
2023-05-16,10032877.849174015
2023-05-17,10064600.223366104
2023-05-18,10098129.69275927
2023-05-19,10089317.811764201
2023-05-22,10089681.174557589
2023-05-23,10063484.916364161
2023-05-24,10053001.078143677
2023-05-25,10190342.78268811
2023-05-26,10230407.039002817
2023-05-30,10260295.752606172
2023-05-31,10220744.125497058
2023-06-01,10285656.145373875
2023-06-02,10276127.136832194
2023-06-05,10271602.344818784
2023-06-06,10268254.562814005
2023-06-07,10253951.996187665
2023-06-08,10290475.748784227
2023-06-09,10294808.662140453
2023-06-12,10314624.396519765
2023-06-13,10342083.537853112
2023-06-14,10376549.174952924
2023-06-15,10381257.027951954
2023-06-16,10384874.369008573
2023-06-20,10390783.496318609
2023-06-21,10371230.381056074
2023-06-22,10387864.24211466
2023-06-23,10367913.53256545
2023-06-26,10342139.18410513
2023-06-27,10382882.339955347
2023-06-28,10377571.081785899
2023-06-29,10381356.88978313
2023-06-30,10430818.317428555
2023-07-03,10425017.490074134
2023-07-05,10430617.579854261
2023-07-06,10357165.467997745
2023-07-07,10361355.775073739
2023-07-10,10389834.63793223
2023-07-11,10411488.948220056
2023-07-12,10437149.093653504
2023-07-13,10456384.043032557
2023-07-14,10437141.045753015
2023-07-17,10504305.493398603
2023-07-18,10574327.160226636
2023-07-19,10561226.425802412
2023-07-20,10505761.260250496
2023-07-21,10520369.066734724
2023-07-24,10527763.434308926
2023-07-25,10526712.081559578
2023-07-26,10524170.604653904
2023-07-27,10431542.617964674
2023-07-28,10502416.538761051
2023-07-31,10585034.093609761
2023-08-01,10539004.139845198
2023-08-02,10481486.924297735
2023-08-03,10451650.85571079
2023-08-04,10418245.875107173
2023-08-07,10455427.295376774
2023-08-08,10419102.967251021
2023-08-09,10338312.472739805
2023-08-10,10338338.950812522
2023-08-11,10320986.865975037
2023-08-14,10366763.632893965
2023-08-15,10332989.712826453
2023-08-16,10306680.546543896
2023-08-17,10269701.68607888
2023-08-18,10293448.495322136
2023-08-21,10320653.564836571
2023-08-22,10308513.849185035
2023-08-23,10373082.673018781
2023-08-24,10283023.65345841
2023-08-25,10310206.981018795
2023-08-28,10339116.162532566
2023-08-29,10415449.936887493
2023-08-30,10465084.257241111
2023-08-31,10464407.141257225
2023-09-01,10464032.63385707
2023-09-05,10468766.00689854
2023-09-06,10460374.489752194
2023-09-07,10466459.439520806
2023-09-08,10486372.669343257
2023-09-11,10532035.826018821
2023-09-12,10437505.826681549
2023-09-13,10451381.915386394
2023-09-14,10498965.608930282
2023-09-15,10448341.689406652
2023-09-18,10439031.953752562
2023-09-19,10441642.976143764
2023-09-20,10394897.99214092
2023-09-21,10280519.00046969
2023-09-22,10277946.189023854
2023-09-25,10287472.209704317
2023-09-26,10221710.11330894
2023-09-27,10238471.2389312
2023-09-28,10308521.003501512
2023-09-29,10278510.944999056
2023-10-02,10258433.354965508
2023-10-03,10231811.472755525
2023-10-04,10221525.680415833
2023-10-05,10159499.250480635
2023-10-06,10191280.215301076
2023-10-09,10261613.807057966
2023-10-10,10274408.48031912
2023-10-11,10283227.97719005
2023-10-12,10283725.27524108
2023-10-13,10303631.906109525
2023-10-16,10321671.214647088
2023-10-17,10339706.34548594
2023-10-18,10317482.769284025
2023-10-19,10293821.739692915
2023-10-20,10253372.591790719
2023-10-23,10251351.770168133
2023-10-24,10248352.017900849
2023-10-25,10210437.209744459
2023-10-26,10125569.826879188
2023-10-27,10130738.29840674
2023-10-30,10145489.592035277
2023-10-31,10162721.42899583
2023-11-01,10173079.733843131
2023-11-02,10241500.289624441
2023-11-03,10243444.444691537
2023-11-06,10217108.473213937
2023-11-07,10184130.615756804
2023-11-08,10166621.296673376
2023-11-09,10133410.46467029
2023-11-10,10172184.46113053
2023-11-13,10189002.798178697
2023-11-14,10218583.682635758
2023-11-15,10224972.390657227
2023-11-16,10155868.761887556
2023-11-17,10178352.273598783
2023-11-20,10197590.716323314
2023-11-21,10180192.641857216
2023-11-22,10177255.778958548
2023-11-24,10190847.153237142
2023-11-27,10182058.363784947
2023-11-28,10193175.879675943
2023-11-29,10173877.62240844
2023-11-30,10165599.587424412
2023-12-01,10192994.710465837
2023-12-04,10186372.214768818
2023-12-05,10150592.695445541
2023-12-06,10127595.712738054
2023-12-07,10150427.048421035
2023-12-08,10155844.330905756
2023-12-11,10158523.789443461
2023-12-12,10139851.79094689
2023-12-13,10185065.425291073
2023-12-14,10254811.63120918
2023-12-15,10256951.836239146
2023-12-18,10290952.630494433
2023-12-19,10316146.400671614
2023-12-20,10292688.378714643
2023-12-21,10308163.747892857
2023-12-22,10313624.570393771
2023-12-26,10329836.814947544
2023-12-27,10325615.316350013
2023-12-28,10311377.114543032
2023-12-29,10305602.215380073
2024-01-02,10157974.74469735
2024-01-03,10094940.097148975
2024-01-04,10119762.500613216
2024-01-05,10140138.118431717
2024-01-08,10244179.063406339
2024-01-09,10185605.65625628
2024-01-10,10201706.7176082
2024-01-11,10154929.35495582
2024-01-12,10108120.094661798
2024-01-16,10027691.18738436
2024-01-17,10000834.456214085
2024-01-18,10016724.889422603
2024-01-19,10073919.308728674
2024-01-22,10108827.426776472
2024-01-23,10118427.514387919
2024-01-24,10115654.060528623
2024-01-25,10121696.85918957
2024-01-26,10093045.606903106
2024-01-29,10214872.717678195
2024-01-30,10205924.830639169
2024-01-31,10132447.818819843
2024-02-01,10176173.210796481
2024-02-02,10237888.668560475
2024-02-05,10139013.171075001
2024-02-06,10177975.967035957
2024-02-07,10010583.677936977
2024-02-08,10018585.813704515
2024-02-09,10078504.74356093
2024-02-12,10125592.463301295
2024-02-13,10003539.605087694
2024-02-14,10145165.240054026
2024-02-15,10213331.194340607
2024-02-16,10217178.208089033
2024-02-20,10183054.632919956
2024-02-21,10118463.397579411
2024-02-22,10187261.091932975
2024-02-23,10192833.814542074
2024-02-26,10282738.27147227
2024-02-27,10304370.497428328
2024-02-28,10308618.068939462
2024-02-29,10366074.082444072
2024-03-01,10435005.134450197
2024-03-04,10546175.042437619
2024-03-05,10487306.939460728
2024-03-06,10553740.719683383
2024-03-07,10662942.94418964
2024-03-08,10685939.650367243
2024-03-11,10646570.93871467
2024-03-12,10679998.50614704
2024-03-13,10671153.793761823
2024-03-14,10596645.755802505
2024-03-15,10592946.292608231
2024-03-18,10594217.777630473
2024-03-19,10564249.069546558
2024-03-20,10729905.258133769
2024-03-21,10782163.253417226
2024-03-22,10762215.581399484
2024-03-25,10810260.317414375
2024-03-26,10803037.314743303
2024-03-27,10831421.674869765
2024-03-28,10875733.54338696
2024-04-01,10855750.907441538
2024-04-02,10856665.100635614
2024-04-03,10859386.34829435
2024-04-04,10793711.049438756
2024-04-05,10879249.301871743
2024-04-08,10878439.800497001
2024-04-09,10820200.40616475
2024-04-10,10864822.05963239
2024-04-11,10883752.299231237
2024-04-12,10777411.970255343
2024-04-15,10693367.820494786
2024-04-16,10663597.075092044
2024-04-17,10615227.553381428
2024-04-18,10640565.70291398
2024-04-19,10554759.279292425
2024-04-22,10638486.95776637
2024-04-23,10752124.898127632
2024-04-24,10700433.480209455
2024-04-25,10792663.278778076
2024-04-26,10888141.899684135
2024-04-29,10940302.013814006
2024-04-30,10784208.061174724
2024-05-01,10699230.607843911
2024-05-02,10761445.949386144
2024-05-03,10826809.015513362
2024-05-06,10955986.296114724
2024-05-07,10967320.42405441
2024-05-08,10977145.06699981
2024-05-09,11060640.569218276
2024-05-10,11076157.65387144
2024-05-13,11097810.62351498
2024-05-14,11116551.610665642
2024-05-15,11213861.062179508
2024-05-16,11231153.457488418
2024-05-17,11294845.824385269
2024-05-20,11333272.484549334
2024-05-21,11354914.122890193
2024-05-22,11315992.819129173
2024-05-23,11324315.593165044
2024-05-24,11425336.823664445
2024-05-28,11455481.256153379
2024-05-29,11368688.54592322
2024-05-30,11396001.46427419
2024-05-31,11532239.463809421
2024-06-03,11518346.66329692
2024-06-04,11567251.79664439
2024-06-05,11693021.345893025
2024-06-06,11706093.792902501
2024-06-07,11627372.82815851
2024-06-10,11610647.032772439
2024-06-11,11548629.351236101
2024-06-12,11575944.249756105
2024-06-13,11603336.148065189
2024-06-14,11610439.945632812
2024-06-17,11650284.103237163
2024-06-18,11772535.017980004
2024-06-20,11703461.669046318
2024-06-21,11670726.788071675
2024-06-24,11640208.452762619
2024-06-25,11751609.767498963
2024-06-26,11744169.267519662
2024-06-27,11679802.01776799
2024-06-28,11697448.563042253
2024-07-01,11727998.485490905
2024-07-02,11754010.989371963
2024-07-03,11752760.158521451
2024-07-05,11834989.273780879
2024-07-08,11858260.691218665
2024-07-09,11861857.35986587
2024-07-10,11949220.083382852
2024-07-11,11859250.491313534
2024-07-12,11848447.066818085
2024-07-15,11861289.127763933
2024-07-16,11906493.918618705
2024-07-17,11791200.77788438
2024-07-18,11715871.879126122
2024-07-19,11688901.916218916
2024-07-22,11699602.64848761
2024-07-23,11684034.40297171
2024-07-24,11611441.922575414
2024-07-25,11592363.550427271
