,SPY
2023-04-03,10000000.0
2023-04-04,9944519.7367054
2023-04-05,9918481.954099683
2023-04-06,9957174.223726528
2023-04-10,9967393.705156531
2023-04-11,9970069.594676234
2023-04-12,9929431.783287581
2023-04-13,10061321.50616332
2023-04-14,10036745.958267821
2023-04-17,10072760.029583316
2023-04-18,10079328.541821066
2023-04-19,10077626.192779485
2023-04-20,10022631.545328122
2023-04-21,10030418.32995865
2023-04-24,10040881.773706097
2023-04-25,9881494.342306068
2023-04-26,9839639.797719067
2023-04-27,10035528.45547226
2023-04-28,10121183.086408067
2023-05-01,10110963.604978062
2023-05-02,9997323.340883082
2023-05-03,9928701.435529687
2023-05-04,9858377.18113471
2023-05-05,10040881.773706097
2023-05-08,10043559.20242023
2023-05-09,9999512.844962332
2023-05-10,10046234.322342716
2023-05-11,10028714.441722635
2023-05-12,10015573.569261055
2023-05-15,10050129.253852412
2023-05-16,9982965.735223155
2023-05-17,10104151.130422872
2023-05-18,10201485.168707253
2023-05-19,10186641.177606877
2023-05-22,10190777.762642367
2023-05-23,10076408.689983923
2023-05-24,10003407.776472028
2023-05-25,10090036.71748317
2023-05-26,10220708.937563347
2023-05-30,10224602.329878611
2023-05-31,10167905.333385665
2023-06-01,10264509.023912156
2023-06-02,10412947.3957215
2023-06-05,10392992.509510297
2023-06-06,10415621.746046772
2023-06-07,10379607.674731275
2023-06-08,10442389.876410384
2023-06-09,10461127.259826025
2023-06-12,10556028.601310931
2023-06-13,10625624.047142448
2023-06-14,10638277.76456636
2023-06-15,10770166.717844883
2023-06-16,10733482.327354334
2023-06-20,10677794.272811439
2023-06-21,10623084.37632996
2023-06-22,10661431.096806863
2023-06-23,10580831.180385122
2023-06-26,10537599.056781653
2023-06-27,10653126.373250032
2023-06-28,10658498.931414267
2023-06-29,10700509.704236094
2023-06-30,10826783.676227374
2023-07-03,10839238.83756958
2023-07-05,10823119.623882448
2023-07-06,10738366.960883683
2023-07-07,10711255.590161776
2023-07-10,10738366.960883683
2023-07-11,10806754.139086226
2023-07-12,10893705.541330833
2023-07-13,10980165.940551694
2023-07-14,10973328.069288377
2023-07-17,11011430.057850622
2023-07-18,11093252.094651222
2023-07-19,11117919.994212627
2023-07-20,11044157.949054204
2023-07-21,11044157.949054204
2023-07-24,11093495.28737145
2023-07-25,11123782.016206179
2023-07-26,11125492.06121992
2023-07-27,11051730.016061494
2023-07-28,11159929.99743724
2023-07-31,11181177.806971166
2023-08-01,11149182.572317127
2023-08-02,10994089.493381849
2023-08-03,10962582.183362693
2023-08-04,10913000.113130791
2023-08-07,11008255.469335014
2023-08-08,10960384.213714069
2023-08-09,10887110.862787744
2023-08-10,10891018.877450109
2023-08-11,10884668.16122446
2023-08-14,10944750.615870172
2023-08-15,10817258.371486116
2023-08-16,10737877.497054366
2023-08-17,10656056.999448199
2023-08-18,10661187.134489423
2023-08-21,10730550.931558952
2023-08-22,10701485.55350586
2023-08-23,10820676.922319166
2023-08-24,10670710.130439032
2023-08-25,10745938.258293757
2023-08-28,10814083.782970507
2023-08-29,10970396.673492994
2023-08-30,11015583.574024864
2023-08-31,10999461.281948866
2023-09-01,11019977.974127682
2023-09-05,10972351.450421393
2023-09-06,10898590.174860183
2023-09-07,10865128.857509844
2023-09-08,10881492.803111637
2023-09-11,10953056.10902422
