gamma,lambda,vol,finalV,err
0.0,0.005179474679231213,0.31602871534384924,21787794.177418586,0.16602871534384925
1.0,0.005179474679231213,0.3019759931699201,21609201.172806446,0.15197599316992008
2.0,0.005179474679231213,0.2890456015291816,22107785.782255504,0.13904560152918158
3.0,0.005179474679231213,0.27958376611009766,22000544.028049525,0.12958376611009767
4.0,0.005179474679231213,0.2719820368510919,21665205.76621191,0.12198203685109191
5.0,0.005179474679231213,0.265292858220049,21367518.843037847,0.115292858220049
