ticker
ONDS
NVDA
NOK
F
PLUG
AES
NFLX
PLTR
MARA
INTC
AAL
SOFI
VG
TSLA
NIO
NU
BMNR
PBR
CCL
RIG
CRCL
NCLH
OXY
AAOI
IBRX
AMZN
AMD
PSLV
MU
XOM
IREN
ITUB
OPEN
SOUN
HOOD
OWL
AG
ACHR
CRWV
AAPL
MSFT
JOBY
RKT
BAC
SMR
WULF
SNAP
PFE
STLA
BBD
AGNC
SMCI
LYG
GRAB
PSKY
BTE
MSTR
T
DNN
GOOGL
HIMS
HL
SLB
RGTI
WBD
NVO
ORCL
SNDK
RKLB
U
CDE
BTG
SAN
QBTS
CIFR
C
IONQ
EXK
B
KTOS
PATH
RUN
VZ
CLSK
CVE
AXTI
BP
CVX
KVUE
XYZ
APLD
CPNG
PYPL
OCUL
AUR
ADT
GLW
DVN
HAL
BCS
ET
AVGO
PBR-A
COP
RIVN
CNQ
HBAN
NVTS
DHT
GOOG
RIOT
FCX
TTD
NBIS
EQNR
NKE
WMT
ABEV
FSLY
TSM
UBER
FRO
HPQ
CMG
VALE
CMCSA
DOW
COHR
NGD
COIN
WFC
KGC
KMI
UUUU
PR
LUNR
BABA
PCG
APH
KHC
PINS
RF
FIG
COMP
RTX
DELL
USAR
ASTS
PL
CSCO
