ticker
NVDA
NFLX
SOFI
PLUG
NU
MARA
AAL
PSKY
ONDS
F
CRWV
INTC
RUN
WBD
RKT
TSLA
BAC
PLTR
PATH
CPNG
BBD
SOUN
OWL
AMZN
XYZ
AAPL
OPEN
NOK
RIVN
IREN
WULF
SNAP
RIG
DELL
HBAN
PFE
MSFT
WMT
NIO
DNN
T
BMNR
CSCO
ACHR
COMP
ORCL
GOOGL
IBRX
AUR
RKLB
QBTS
IONQ
JOBY
AMD
BTG
SMCI
AAOI
FIGS
MU
SAN
LYG
AES
RGTI
CIFR
KEY
VZ
VTRS
NCLH
NVO
ASTS
AG
HL
NBIS
GRAB
SMR
WFC
TTD
CMCSA
C
HIMS
HOOD
NEE
DUOL
CRCL
KVUE
CDE
PBR
HPE
DKNG
DOCU
CZR
PYPL
PSLV
EXK
NVTS
INFY
SNDK
NTNX
RF
ABEV
APLD
CLSK
AVGO
ARCC
GOOG
HPQ
AGNC
FITB
KKR
PCG
XOM
STLA
CMG
BCRX
VALE
NOW
NKE
UWMC
CCL
UBER
MSTR
BTE
FLUT
RIOT
PINS
MRVL
FIGR
APO
LYFT
CRM
FIG
LRCX
CORZ
PENN
KO
XRAY
QCOM
FCX
BCS
ITUB
FSK
QS
KTOS
TOST
VLY
GLW
CLF
ZS
U
USAR
BN
CVS
CVE
NGD
SARO
FNB
PEP
KHC
LUMN
OXY
CFLT
RITM
GGB
FISV
DAL
SLB
CAG
JPM
B
DOW
BE
VG
JBLU
UUUU
HTGC
ZETA
LUNR
UAL
EQT
KIM
ET
D
CPRT
USB
CCC
SHOP
KGC
META
PR
COIN
KMI
WIT
FLG
SM
BSX
DIS
FSLY
MRK
BABA
PBR-A
WBS
KDP
DOC
CSX
MS
CELH
MNST
PL
SNOW
ORLY
VISN
CRGY
TSM
AXTI
BMY
HBM
CNH
AEG
TFC
RBLX
RNA
Z
BX
HST
VNET
DT
MO
JD
NATL
AFRM
ABT
SCHW
BTI
INTU
ENB
BULL
ERIC
AXP
ZM
CVX
NEM
BAX
WDAY
TEAM
CRDO
SBUX
BP
DINO
UCTT
FRMI
