Date,SPY
2021-03-02,360.825927734375
2021-03-03,356.0465087890625
2021-03-04,351.64056396484375
2021-03-05,358.10955810546875
2021-03-08,356.32659912109375
2021-03-09,361.41412353515625
2021-03-10,363.6637268066406
2021-03-11,367.35101318359375
2021-03-12,367.84564208984375
2021-03-15,370.0393371582031
2021-03-16,369.5726013183594
2021-03-17,370.8327941894531
2021-03-18,365.4372863769531
2021-03-19,364.76116943359375
2021-03-22,367.6737976074219
2021-03-23,364.7799072265625
2021-03-24,362.925537109375
2021-03-25,364.9671936035156
2021-03-26,370.8486022949219
2021-03-29,370.66131591796875
2021-03-30,369.6779479980469
2021-03-31,371.1763610839844
2021-04-01,375.1847839355469
2021-04-05,380.56982421875
2021-04-06,380.3450927734375
2021-04-07,380.7852783203125
2021-04-08,382.59271240234375
2021-04-09,385.374267578125
2021-04-12,385.5146789550781
2021-04-13,386.6573486328125
2021-04-14,385.3367919921875
2021-04-15,389.4762878417969
2021-04-16,390.7779541015625
2021-04-19,388.8581848144531
2021-04-20,386.0111083984375
2021-04-21,389.66357421875
2021-04-22,386.10479736328125
2021-04-23,390.29107666015625
2021-04-26,391.10577392578125
2021-04-27,391.02154541015625
2021-04-28,390.90911865234375
2021-04-29,393.4002990722656
2021-04-30,390.81549072265625
2021-05-03,391.6584167480469
2021-05-04,389.24212646484375
2021-05-05,389.3638916015625
2021-05-06,392.47314453125
2021-05-07,395.32958984375
2021-05-10,391.4149475097656
2021-05-11,387.921630859375
2021-05-12,379.6801452636719
2021-05-13,384.2410583496094
2021-05-14,390.1412353515625
2021-05-17,389.1484680175781
2021-05-18,385.79571533203125
2021-05-19,384.78424072265625
2021-05-20,388.92376708984375
2021-05-21,388.6053771972656
2021-05-24,392.5668029785156
2021-05-25,391.69586181640625
2021-05-26,392.47314453125
2021-05-27,392.6791687011719
2021-05-28,393.3816223144531
2021-06-01,393.03509521484375
2021-06-02,393.65325927734375
2021-06-03,392.19219970703125
2021-06-04,395.77911376953125
2021-06-07,395.3951110839844
2021-06-08,395.47943115234375
2021-06-09,394.8894348144531
2021-06-10,396.72503662109375
2021-06-11,397.380615234375
2021-06-14,398.27032470703125
2021-06-15,397.5399169921875
2021-06-16,395.3202209472656
2021-06-17,395.1890563964844
2021-06-18,389.85784912109375
2021-06-21,395.4389953613281
2021-06-22,397.5531311035156
2021-06-23,397.07391357421875
2021-06-24,399.42291259765625
2021-06-25,400.841796875
2021-06-28,401.6498107910156
2021-06-29,401.86590576171875
2021-06-30,402.20416259765625
2021-07-01,404.43096923828125
2021-07-02,407.522216796875
2021-07-06,406.77996826171875
2021-07-07,408.2176208496094
2021-07-08,404.89141845703125
2021-07-09,409.2135314941406
2021-07-12,410.6792907714844
2021-07-13,409.2793273925781
2021-07-14,409.89007568359375
2021-07-15,408.49005126953125
2021-07-16,405.28607177734375
2021-07-19,399.30084228515625
2021-07-20,405.0229797363281
2021-07-21,408.3021240234375
2021-07-22,409.1571960449219
2021-07-23,413.3665771484375
2021-07-26,414.3813781738281
2021-07-27,412.4928283691406
2021-07-28,412.3236083984375
2021-07-29,414.03369140625
2021-07-30,412.02294921875
2021-08-02,411.15850830078125
2021-08-03,414.50347900390625
2021-08-04,412.4646301269531
2021-08-05,415.07666015625
2021-08-06,415.7625427246094
2021-08-09,415.42431640625
2021-08-10,415.9410400390625
2021-08-11,416.9746398925781
2021-08-12,418.22430419921875
2021-08-13,418.9853820800781
2021-08-16,419.97198486328125
2021-08-17,417.21893310546875
2021-08-18,412.6524658203125
2021-08-19,413.2914733886719
2021-08-20,416.5799560546875
2021-08-23,420.244384765625
2021-08-24,420.9115905761719
2021-08-25,421.7947692871094
2021-08-26,419.3049011230469
2021-08-27,423.05389404296875
2021-08-30,424.9142761230469
2021-08-31,424.28472900390625
2021-09-01,424.51025390625
2021-09-02,425.8162841796875
2021-09-03,425.71295166015625
2021-09-07,424.19073486328125
2021-09-08,423.67401123046875
2021-09-09,421.8605651855469
2021-09-10,418.53436279296875
2021-09-13,419.6054382324219
2021-09-14,417.3410339355469
2021-09-15,420.82696533203125
2021-09-16,420.159912109375
2021-09-17,416.067138671875
2021-09-20,409.1294860839844
2021-09-21,408.7430114746094
2021-09-22,412.7302551269531
2021-09-23,417.744873046875
2021-09-24,418.4330139160156
2021-09-27,417.2359619140625
2021-09-28,408.82781982421875
2021-09-29,409.5159606933594
2021-09-30,404.5107421875
2021-10-01,409.3180236816406
2021-10-04,404.03936767578125
2021-10-05,408.2434387207031
2021-10-06,409.94012451171875
2021-10-07,413.4843444824219
2021-10-08,412.7302551269531
2021-10-11,409.7422180175781
2021-10-12,408.733642578125
2021-10-13,410.2040100097656
2021-10-14,417.1039123535156
2021-10-15,420.280517578125
2021-10-18,421.5248107910156
2021-10-19,424.77679443359375
2021-10-20,426.44525146484375
2021-10-21,427.55743408203125
2021-10-22,427.1144104003906
2021-10-25,429.4049987792969
2021-10-26,429.79144287109375
2021-10-27,427.8874206542969
2021-10-28,432.0159606933594
2021-10-29,432.8926696777344
2021-11-01,433.6372985839844
2021-11-02,435.3905334472656
2021-11-03,438.0487060546875
2021-11-04,440.1129455566406
2021-11-05,441.6401062011719
2021-11-08,442.0170593261719
2021-11-09,440.55609130859375
2021-11-10,437.0118713378906
2021-11-11,437.15325927734375
2021-11-12,440.45233154296875
2021-11-15,440.6031188964844
2021-11-16,442.3469543457031
2021-11-17,441.27239990234375
2021-11-18,442.77117919921875
2021-11-19,441.97943115234375
2021-11-22,440.73516845703125
2021-11-23,441.3195495605469
2021-11-24,442.4977722167969
2021-11-26,432.6287536621094
2021-11-29,437.9355163574219
2021-11-30,429.4144287109375
2021-12-01,424.6448059082031
2021-12-02,431.1488037109375
2021-12-03,427.3972473144531
2021-12-06,432.45904541015625
2021-12-07,441.4043273925781
2021-12-08,442.5732727050781
2021-12-09,439.585205078125
2021-12-10,443.7232360839844
2021-12-13,439.7925109863281
2021-12-14,436.7667541503906
2021-12-15,443.5912780761719
2021-12-16,439.6794128417969
2021-12-17,434.9999694824219
2021-12-20,430.3743896484375
2021-12-21,438.0174865722656
2021-12-22,442.3970031738281
2021-12-23,445.1496276855469
2021-12-27,451.4495544433594
2021-12-28,451.08062744140625
2021-12-29,451.6575927734375
2021-12-30,450.4090270996094
2021-12-31,449.2738342285156
2022-01-03,451.8751220703125
2022-01-04,451.7237548828125
2022-01-05,443.0497741699219
2022-01-06,442.6335144042969
2022-01-07,440.883544921875
2022-01-10,440.33489990234375
2022-01-11,444.3456115722656
2022-01-12,445.54693603515625
2022-01-13,439.4079895019531
2022-01-14,439.587646484375
2022-01-18,431.80279541015625
2022-01-19,427.3190612792969
2022-01-20,422.5894470214844
2022-01-21,414.2937316894531
2022-01-24,416.05322265625
2022-01-25,410.9736328125
2022-01-26,409.9425964355469
2022-01-27,407.9182434082031
2022-01-28,418.049072265625
2022-01-31,425.5785827636719
2022-02-01,428.45416259765625
2022-02-02,432.6162109375
2022-02-03,422.4476318359375
2022-02-04,424.4340515136719
2022-02-07,423.0718994140625
2022-02-08,426.5528564453125
2022-02-09,432.7960510253906
2022-02-10,425.0205383300781
2022-02-11,416.6396179199219
2022-02-14,415.27752685546875
2022-02-15,421.97467041015625
2022-02-16,422.4476318359375
2022-02-17,413.4234924316406
2022-02-18,410.7465515136719
2022-02-22,406.338623046875
2022-02-23,399.1307678222656
2022-02-24,405.1372375488281
2022-02-25,414.0762634277344
2022-02-28,413.0167541503906
2022-03-01,406.7264404296875
2022-03-02,414.2087097167969
2022-03-03,412.1465148925781
2022-03-04,408.7980041503906
2022-03-07,396.7469787597656
2022-03-08,393.7389221191406
2022-03-09,404.2953796386719
2022-03-10,402.4697265625
2022-03-11,397.352294921875
2022-03-14,394.4483337402344
2022-03-15,403.1224670410156
2022-03-16,412.0614013671875
2022-03-17,417.2166748046875
2022-03-18,421.786376953125
2022-03-21,421.6630554199219
2022-03-22,426.5970458984375
2022-03-23,421.1031799316406
2022-03-24,427.4510498046875
2022-03-25,429.5384826660156
2022-03-28,432.5938415527344
2022-03-29,437.9453430175781
2022-03-30,435.2411804199219
2022-03-31,428.5422668457031
2022-04-01,429.7568054199219
2022-04-04,433.4383544921875
2022-04-05,427.9634094238281
2022-04-06,423.6840515136719
2022-04-07,425.8189697265625
2022-04-08,424.6803894042969
2022-04-11,417.4216003417969
2022-04-12,415.8749694824219
2022-04-13,420.63824462890625
2022-04-14,415.4005126953125
2022-04-18,415.5713806152344
2022-04-19,422.27978515625
2022-04-20,421.9666748046875
2022-04-21,415.6567687988281
2022-04-22,404.25146484375
2022-04-25,406.59515380859375
2022-04-26,394.81982421875
2022-04-27,395.92999267578125
2022-04-28,405.9309387207031
2022-04-29,390.92950439453125
2022-05-02,393.28271484375
2022-05-03,395.08551025390625
2022-05-04,407.1169738769531
2022-05-05,392.64691162109375
2022-05-06,390.30322265625
2022-05-09,377.8067932128906
2022-05-10,378.67974853515625
2022-05-11,372.66400146484375
2022-05-12,372.2749328613281
2022-05-13,381.1751403808594
2022-05-16,379.628662109375
2022-05-17,387.43768310546875
2022-05-18,371.8194885253906
2022-05-19,369.5422668457031
2022-05-20,369.7035217285156
2022-05-23,376.62066650390625
2022-05-24,373.7457275390625
2022-05-25,377.0477294921875
2022-05-26,384.5816345214844
2022-05-27,394.0227966308594
2022-05-31,391.8119201660156
2022-06-01,388.6427307128906
2022-06-02,396.04388427734375
2022-06-03,389.544189453125
2022-06-06,390.730224609375
2022-06-07,394.4782409667969
2022-06-08,390.1893615722656
2022-06-09,380.9095458984375
2022-06-10,369.8648376464844
2022-06-13,355.82177734375
2022-06-14,354.74951171875
2022-06-15,359.8069763183594
2022-06-16,347.89874267578125
2022-06-17,348.6488342285156
2022-06-21,357.4255676269531
2022-06-22,356.77752685546875
2022-06-23,360.27484130859375
2022-06-24,371.72943115234375
2022-06-27,370.30938720703125
2022-06-28,362.7430419921875
2022-06-29,362.4476013183594
2022-06-30,359.5030212402344
2022-07-01,363.3052062988281
2022-07-05,363.99139404296875
2022-07-06,365.220703125
2022-07-07,370.6906433105469
2022-07-08,370.3857116699219
2022-07-11,366.1546325683594
2022-07-12,362.91455078125
2022-07-13,361.0086364746094
2022-07-14,360.1319274902344
2022-07-15,367.01226806640625
2022-07-18,363.9819030761719
2022-07-19,373.81634521484375
2022-07-20,376.1987609863281
2022-07-21,380.0296936035156
2022-07-22,376.50372314453125
2022-07-25,376.96112060546875
2022-07-26,372.50128173828125
2022-07-27,382.173828125
2022-07-28,386.9671630859375
2022-07-29,392.608642578125
2022-08-01,391.4460754394531
2022-08-02,388.863525390625
2022-08-03,394.95294189453125
2022-08-04,394.6861877441406
2022-08-05,394.01904296875
2022-08-08,393.5616149902344
2022-08-09,391.9988098144531
2022-08-10,400.23236083984375
2022-08-11,400.23236083984375
2022-08-12,407.00787353515625
2022-08-15,408.6850891113281
2022-08-16,409.48553466796875
2022-08-17,406.5789794921875
2022-08-18,407.76068115234375
2022-08-19,402.28125
2022-08-22,393.9046630859375
2022-08-23,392.9517822265625
2022-08-24,394.2096862792969
2022-08-25,399.7748718261719
2022-08-26,386.2429504394531
2022-08-29,383.68896484375
2022-08-30,379.4769287109375
2022-08-31,376.5894470214844
2022-09-01,377.77117919921875
2022-09-02,373.7877197265625
2022-09-06,372.37738037109375
2022-09-07,379.06707763671875
2022-09-08,381.5448303222656
2022-09-09,387.4722595214844
2022-09-12,391.6366271972656
2022-09-13,374.60736083984375
2022-09-14,376.0367431640625
2022-09-15,371.7674865722656
2022-09-16,368.9313659667969
2022-09-19,371.7923889160156
2022-09-20,367.52471923828125
2022-09-21,361.1137390136719
2022-09-22,358.0804138183594
2022-09-23,352.08087158203125
2022-09-26,348.5978088378906
2022-09-27,347.7079162597656
2022-09-28,354.5495910644531
2022-09-29,347.143310546875
2022-09-30,341.7753601074219
2022-10-03,350.7986145019531
2022-10-04,361.66864013671875
2022-10-05,360.82659912109375
2022-10-06,357.1043701171875
2022-10-07,347.143310546875
2022-10-10,344.4928283691406
2022-10-11,342.3111877441406
2022-10-12,341.18212890625
2022-10-13,350.1861877441406
2022-10-14,342.2059020996094
2022-10-17,350.99957275390625
2022-10-18,355.12371826171875
2022-10-19,352.60711669921875
2022-10-20,349.650390625
2022-10-21,358.1474304199219
2022-10-24,362.5299072265625
2022-10-25,368.3189697265625
2022-10-26,365.54400634765625
2022-10-27,363.59197998046875
2022-10-28,372.2420959472656
2022-10-31,369.55328369140625
2022-11-01,367.9361572265625
2022-11-02,358.7023620605469
2022-11-03,355.00885009765625
2022-11-04,360.1185607910156
2022-11-07,363.5633239746094
2022-11-08,365.52490234375
2022-11-09,357.9942932128906
2022-11-10,377.66754150390625
2022-11-11,381.3228759765625
2022-11-14,378.0789794921875
2022-11-15,381.3036193847656
2022-11-16,378.394775390625
2022-11-17,377.23699951171875
2022-11-18,378.9498291015625
2022-11-21,377.5718078613281
2022-11-22,382.65283203125
2022-11-23,385.0641784667969
2022-11-25,384.97808837890625
2022-11-28,378.8349304199219
2022-11-29,378.184326171875
2022-11-30,390.0972900390625
2022-12-01,389.81024169921875
2022-12-02,389.36053466796875
2022-12-05,382.356201171875
2022-12-06,376.8446960449219
2022-12-07,376.20361328125
2022-12-08,379.1507263183594
2022-12-09,376.3183898925781
2022-12-12,381.743896484375
2022-12-13,384.63360595703125
2022-12-14,382.17437744140625
2022-12-15,372.8258056640625
2022-12-16,368.4241638183594
2022-12-19,365.300048828125
2022-12-20,365.7999572753906
2022-12-21,371.26953125
2022-12-22,365.972900390625
2022-12-23,368.0780944824219
2022-12-27,366.6266174316406
2022-12-28,362.0701904296875
2022-12-29,368.58758544921875
2022-12-30,367.6166687011719
2023-01-03,366.069091796875
2023-01-04,368.8952331542969
2023-01-05,364.6848449707031
2023-01-06,373.0478820800781
2023-01-09,372.8363952636719
2023-01-10,375.4510192871094
2023-01-11,380.1996765136719
2023-01-12,381.58392333984375
2023-01-13,383.0642395019531
2023-01-17,382.3625183105469
2023-01-18,376.3258056640625
2023-01-19,373.5861511230469
2023-01-20,380.54571533203125
2023-01-23,385.1116638183594
2023-01-24,384.6983947753906
2023-01-25,384.84259033203125
2023-01-26,389.0721740722656
2023-01-27,389.96612548828125
2023-01-30,385.07330322265625
2023-01-31,390.7351379394531
2023-02-01,394.8877868652344
2023-02-02,400.63616943359375
2023-02-03,396.3778076171875
2023-02-06,393.9554138183594
2023-02-07,399.1077575683594
2023-02-08,394.7435607910156
2023-02-09,391.3215026855469
2023-02-10,392.2347106933594
2023-02-13,396.83917236328125
2023-02-14,396.6565246582031
2023-02-15,397.94464111328125
2023-02-16,392.46539306640625
2023-02-17,391.48492431640625
2023-02-21,383.63134765625
2023-02-22,383.1026916503906
2023-02-23,385.1405334472656
2023-02-24,381.0263977050781
2023-02-27,382.3240966796875
2023-02-28,380.9110107421875
2023-03-01,379.4498596191406
2023-03-02,382.4009704589844
2023-03-03,388.53387451171875
2023-03-06,388.8030090332031
2023-03-07,382.8431701660156
2023-03-08,383.4679870605469
2023-03-09,376.39306640625
2023-03-10,370.9619140625
2023-03-13,370.4332275390625
2023-03-14,376.5564880371094
2023-03-15,374.2013854980469
2023-03-16,380.76678466796875
2023-03-17,376.3146057128906
2023-03-20,379.93310546875
2023-03-21,384.9218444824219
2023-03-22,378.3603210449219
2023-03-23,379.38311767578125
2023-03-24,381.87261962890625
2023-03-27,382.586669921875
2023-03-28,381.7279357910156
2023-03-29,387.2762756347656
2023-03-30,389.54388427734375
2023-03-31,395.0343017578125
2023-04-03,396.5396728515625
2023-04-04,394.339599609375
2023-04-05,393.30712890625
2023-04-06,394.84136962890625
2023-04-10,395.2466125488281
2023-04-11,395.352783203125
2023-04-12,393.7413024902344
2023-04-13,398.9712829589844
2023-04-14,397.99664306640625
2023-04-17,399.4248046875
2023-04-18,399.6853332519531
2023-04-19,399.6177978515625
2023-04-20,397.43701171875
2023-04-21,397.7458190917969
2023-04-24,398.1607666015625
