,cost
2023-03-31,10000.000000002645
2023-06-30,11689.688572337933
2023-09-29,20500.866385007306
2023-12-29,21156.281651117602
2024-03-28,24203.081643250545
2024-06-28,22755.35597640577
2024-09-30,27012.55217301446
2024-12-31,27796.855769214657
2025-03-31,31280.724010140755
2025-06-30,29487.02004239498
2025-09-30,29029.858420908742
2025-12-31,34375.14258470483
