,strategy_return
2023-04-03,9836005.35970451
2023-04-04,9776102.472843554
2023-04-05,9542701.66996009
2023-04-06,9577443.418074595
2023-04-10,9702599.617510796
2023-04-11,9691103.735266333
2023-04-12,9560174.324501803
2023-04-13,9712284.59711164
2023-04-14,9743962.195756948
2023-04-17,9768794.243306829
2023-04-18,9781998.424633123
2023-04-19,9714098.274031183
2023-04-20,9518594.639674913
2023-04-21,9478960.437542027
2023-04-24,9323381.295944447
2023-04-25,9108478.711505398
2023-04-26,9119625.294181477
2023-04-27,9427593.056738362
2023-04-28,9569536.75180274
2023-05-01,9520915.274486214
2023-05-02,9517818.180124331
2023-05-03,9361470.279229654
2023-05-04,9638039.120164383
2023-05-05,10097587.103749331
2023-05-08,10235975.329325862
2023-05-09,10210226.265086554
2023-05-10,10322212.034241803
2023-05-11,10276009.32546957
2023-05-12,10121627.176724875
2023-05-15,10302435.541672407
2023-05-16,10280067.852208491
2023-05-17,10536581.318196125
2023-05-18,10772322.805964634
2023-05-19,10652222.315922875
2023-05-22,10838330.438438252
2023-05-23,10628146.63894208
2023-05-24,10608370.907549437
2023-05-25,11015904.184179477
2023-05-26,11366093.105641505
2023-05-30,11529110.472451728
2023-05-31,11449404.188640514
2023-06-01,11587399.762549397
2023-06-02,11648148.34969716
2023-06-05,11539840.746710677
2023-06-06,11585883.521392457
2023-06-07,11358150.161231766
2023-06-08,11578807.164674863
2023-06-09,11716511.12347694
2023-06-12,11938509.912624402
2023-06-13,11993732.575202787
2023-06-14,12195488.996525908
2023-06-15,12254330.069481727
2023-06-16,12223054.521135388
2023-06-20,12329650.350000842
2023-06-21,12057538.466799337
2023-06-22,12140302.735786673
2023-06-23,12152712.947933065
2023-06-26,11962624.860073594
2023-06-27,12345232.098538904
2023-06-28,12387300.839861535
2023-06-29,12332783.590770066
2023-06-30,12505757.290015988
2023-07-03,12597839.729697095
2023-07-05,12609297.04849262
2023-07-06,12391411.173572872
2023-07-07,12392352.147822026
2023-07-10,12432020.60497739
2023-07-11,12560999.666198231
2023-07-12,12762654.420968333
2023-07-13,13130233.563379
2023-07-14,13031092.928262258
2023-07-17,13185387.193702219
2023-07-18,13344300.27084048
2023-07-19,13338146.114588616
2023-07-20,12789192.011051843
2023-07-21,12735056.623898048
2023-07-24,12798286.390092628
2023-07-25,12837923.077505989
2023-07-26,12720944.853148064
2023-07-27,12692961.777166998
2023-07-28,13001917.465666732
2023-07-31,13121364.028578252
2023-08-01,13058688.178571558
2023-08-02,12619407.740062444
2023-08-03,12522113.453945685
2023-08-04,12507799.660110194
2023-08-07,12605837.130700765
2023-08-08,12434886.959814237
2023-08-09,12137513.751529997
2023-08-10,12175213.22328788
2023-08-11,11995274.294706387
2023-08-14,12227924.010029996
2023-08-15,12090141.871921599
2023-08-16,11906688.852547782
2023-08-17,11729059.26105645
2023-08-18,11733628.940031387
2023-08-21,12081649.631511064
2023-08-22,12043803.857718408
2023-08-23,12323288.217581464
2023-08-24,11998553.343451636
2023-08-25,12092443.166441366
2023-08-28,12169030.001414161
2023-08-29,12597493.473387012
2023-08-30,12694554.579732792
2023-08-31,12929218.521405574
2023-09-01,12794447.796145985
2023-09-05,12898149.043549083
2023-09-06,12790090.865201505
2023-09-07,12748328.915398201
2023-09-08,12759323.603881598
2023-09-11,13054440.204896688
2023-09-12,12704886.92646348
2023-09-13,12765839.369638002
2023-09-14,12844913.519683372
2023-09-15,12610719.089582106
2023-09-18,12458099.239164963
2023-09-19,12448018.40649733
2023-09-20,12239300.63061664
2023-09-21,11851247.461365728
2023-09-22,11847321.728815759
2023-09-25,11943262.847844537
2023-09-26,11709590.483740462
2023-09-27,11736294.82324501
2023-09-28,11937891.47993158
2023-09-29,11994752.127358349
2023-10-02,11993068.328176253
2023-10-03,11845553.94798331
2023-10-04,11853356.137937421
2023-10-05,11837458.792666374
2023-10-06,12058513.233934293
2023-10-09,12178726.491784865
2023-10-10,12240126.60656124
2023-10-11,12213950.708944848
2023-10-12,12118972.431633241
2023-10-13,12022012.875659475
2023-10-16,12170499.355835086
2023-10-17,12200929.577532051
2023-10-18,12064677.706058366
2023-10-19,11979121.572671324
2023-10-20,11843541.696685039
2023-10-23,11812434.410743006
2023-10-24,11967183.884161646
2023-10-25,11549709.39404579
2023-10-26,11293735.932747036
2023-10-27,11264616.845584093
2023-10-30,11429280.258089636
2023-10-31,11537724.493432036
2023-11-01,11645331.775231916
2023-11-02,11958831.066086266
2023-11-03,12072036.727619125
2023-11-06,12070760.737640494
2023-11-07,12129580.885312095
2023-11-08,12102593.338584619
2023-11-09,12096650.05827331
2023-11-10,12297114.705739127
2023-11-13,12303653.988237804
2023-11-14,12500808.643077461
2023-11-15,12626394.768094817
2023-11-16,12549845.659566179
2023-11-17,12617299.909316804
2023-11-20,12789339.292881552
2023-11-21,12723467.233928531
2023-11-22,12788646.646426173
2023-11-24,12832950.306274494
2023-11-27,12850285.277410923
2023-11-28,12947749.108360324
2023-11-29,12902954.835227745
2023-11-30,12791484.727104649
2023-12-01,12868663.427311156
2023-12-04,12823265.270816814
2023-12-05,12766186.777463702
2023-12-06,12655034.449656166
2023-12-07,12855890.400252214
2023-12-08,13005975.005960112
2023-12-11,13013555.338023918
2023-12-12,12998755.54574044
2023-12-13,13235677.515185507
2023-12-14,13383930.712804224
2023-12-15,13376114.4670742
2023-12-18,13535194.81874177
2023-12-19,13720739.447335133
2023-12-20,13597746.56248831
2023-12-21,13855467.677122094
2023-12-22,13970848.127543408
2023-12-26,14037530.353944534
2023-12-27,14142791.161300238
2023-12-28,14095675.931561038
2023-12-29,13946387.335467674
2024-01-02,13261565.933111476
2024-01-03,12978647.653714601
2024-01-04,13006395.164944392
2024-01-05,13049218.349523894
2024-01-08,13465487.471621145
2024-01-09,13480603.495911771
2024-01-10,13465133.508422317
2024-01-11,13444305.053614693
2024-01-12,13283551.472232308
2024-01-16,13375752.459786806
2024-01-17,13274790.131882206
2024-01-18,13310908.686120713
2024-01-19,13696466.11194718
2024-01-22,13763210.694298977
2024-01-23,13776569.082898127
2024-01-24,13845257.074193731
2024-01-25,13938390.998563496
2024-01-26,13805530.089457966
2024-01-29,14119319.034513883
2024-01-30,13942090.708228875
2024-01-31,13653310.604782747
2024-02-01,13701449.138256127
2024-02-02,14009407.059823794
2024-02-05,13820267.901783226
2024-02-06,13790837.683412813
2024-02-07,14020940.953971667
