gamma,lambda,vol,finalV,err
0.0,0.0001,0.3262863399805816,17353949.289179973,0.18478633998058158
0.0,0.0003727593720314938,0.32601049675107324,17457300.7307487,0.18451049675107323
0.0,0.0013894954943731374,0.32484762846619075,17708575.205127794,0.18334762846619074
0.0,0.005179474679231213,0.31897629621580964,18353821.464504644,0.17747629621580963
0.0,0.019306977288832496,0.2877740225642249,18146521.821248244,0.1462740225642249
0.0,0.07196856730011514,0.18277458011904824,16761173.410103787,0.04127458011904822
0.0,0.2682695795279725,0.05656832625952458,13228303.096765092,0.08493167374047544
0.0,1.0,0.015537107511466306,12244907.81953959,0.1259628924885337
10.0,0.0001,0.2633567891604612,17602402.314708453,0.12185678916046117
10.0,0.0003727593720314938,0.26284362269555067,17564088.288096618,0.12134362269555066
10.0,0.0013894954943731374,0.2615238332333121,17394932.038091514,0.12002383323331206
10.0,0.005179474679231213,0.25695013277395157,17292626.657643314,0.11545013277395155
10.0,0.019306977288832496,0.23504398274607674,16764304.223185034,0.09354398274607673
10.0,0.07196856730011514,0.13400787510367004,14426982.34686281,0.007492124896329971
10.0,0.2682695795279725,0.046487425813837115,12975728.022618636,0.09501257418616291
10.0,1.0,0.014540091056385995,12223852.54208365,0.12695990894361403
20.0,0.0001,0.22824203416078973,16730744.008111332,0.08674203416078971
20.0,0.0003727593720314938,0.22807893629696574,16664609.068362279,0.08657893629696573
20.0,0.0013894954943731374,0.2269968154565677,16602289.615769314,0.08549681545656768
20.0,0.005179474679231213,0.2211592552246153,15938509.395307342,0.07965925522461528
20.0,0.019306977288832496,0.20079686653481962,14023550.404250152,0.05929686653481961
20.0,0.07196856730011514,0.1103974746600327,13647032.812745485,0.03110252533996731
20.0,0.2682695795279725,0.04157926307951192,12810706.38110078,0.09992073692048808
20.0,1.0,0.013804391178376858,12204025.625450937,0.12769560882162315
30.0,0.0001,0.20278465871382673,14710892.557182224,0.06128465871382671
30.0,0.0003727593720314938,0.20218257083922975,14667268.056208245,0.06068257083922973
30.0,0.0013894954943731374,0.2005278806398062,14461253.995046591,0.059027880639806185
30.0,0.005179474679231213,0.19525751045865475,13848209.378413202,0.053757510458654734
30.0,0.019306977288832496,0.18221871341594198,12645207.737577269,0.040718713415941965
30.0,0.07196856730011514,0.09607756875630803,13185803.856890218,0.04542243124369198
30.0,0.2682695795279725,0.03816963716349383,12701119.918996211,0.10333036283650618
30.0,1.0,0.01321395154649944,12186279.135364499,0.12828604845350058
40.0,0.0001,0.18527524068427437,13170253.149603823,0.04377524068427435
40.0,0.0003727593720314938,0.18507870091673748,13150365.303833354,0.04357870091673746
40.0,0.0013894954943731374,0.18358630630106243,13032205.349177444,0.042086306301062415
40.0,0.005179474679231213,0.17973417432294797,12750765.246381989,0.038234174322947956
40.0,0.019306977288832496,0.1605115858596086,12120147.092684025,0.019011585859608576
40.0,0.07196856730011514,0.08582728378433581,12894292.170783617,0.055672716215664206
40.0,0.2682695795279725,0.035745171746352826,12608282.510028102,0.10575482825364718
40.0,1.0,0.012700564156317477,12170417.500100944,0.12879943584368253
50.0,0.0001,0.1729374816212765,12353541.254603898,0.03143748162127649
50.0,0.0003727593720314938,0.1726821943828154,12329688.352732435,0.031182194382815387
50.0,0.0013894954943731374,0.17214291628488368,12249950.509325605,0.030642916284883664
50.0,0.005179474679231213,0.16976066230958078,12029542.402835747,0.02826066230958077
50.0,0.019306977288832496,0.1415220574607481,11889893.355723249,2.2057460748098334e-05
50.0,0.07196856730011514,0.07794246399865064,12690127.409212148,0.06355753600134938
50.0,0.2682695795279725,0.03379857500885309,12535784.98364321,0.10770142499114693
50.0,1.0,0.012188677277198676,12158067.83104156,0.12931132272280133
60.0,0.0001,0.16480781611387813,11784625.311422728,0.02330781611387811
60.0,0.0003727593720314938,0.1646903117347612,11759653.472483596,0.023190311734761188
60.0,0.0013894954943731374,0.16456745085384974,11665835.382421594,0.02306745085384973
