gamma,lambda,vol,finalV,err
45.0,0.019306977288832496,0.15059786022866445,11962424.098846357,0.009097860228664434
46.0,0.019306977288832496,0.14870356948966115,11945595.627975676,0.007203569489661138
47.0,0.019306977288832496,0.1468390819850808,11930003.865748458,0.00533908198508079
48.0,0.019306977288832496,0.1449783989100535,11915169.80652674,0.0034783989100534984
49.0,0.019306977288832496,0.14324658399608303,11902026.25329646,0.0017465839960830176
50.0,0.019306977288832496,0.1415220574607481,11889893.355723249,2.2057460748098334e-05
51.0,0.019306977288832496,0.139869624075118,11877065.279700086,0.0016303759248820215
52.0,0.019306977288832496,0.1382278896982565,11860354.767343977,0.003272110301743514
53.0,0.019306977288832496,0.13664641898760188,11849372.235931406,0.004853581012398134
54.0,0.019306977288832496,0.13510975019178048,11839815.23176224,0.006390249808219534
55.0,0.019306977288832496,0.13361629429666058,11827486.949236117,0.007883705703339433
