,cost
2023-03-31,10000.0
2023-06-30,0.0
2023-09-29,0.0
2023-12-29,0.0
2024-03-28,3341.1822152836057
2024-06-28,0.0
2024-09-30,0.0
2024-12-31,0.0
2025-03-31,3048.909611986113
2025-06-30,0.0
2025-09-30,0.0
2025-12-31,0.0
