,equal_weight
2023-04-03,9979077.143195616
2023-04-04,9941275.65657919
2023-04-05,9863730.90134448
2023-04-06,9911495.152389916
2023-04-10,9963843.765044793
2023-04-11,9946867.930276446
2023-04-12,9848950.467551105
2023-04-13,9984893.630320234
2023-04-14,9996660.14084549
2023-04-17,10040487.639937844
2023-04-18,10051497.77096732
2023-04-19,9988706.463510312
2023-04-20,9898254.35362314
2023-04-21,9897638.335560195
2023-04-24,9865438.888448251
2023-04-25,9653718.743868575
2023-04-26,9637539.703426149
2023-04-27,9843403.735185578
2023-04-28,9954782.967838176
2023-05-01,9926344.083900766
2023-05-02,9806628.021127377
2023-05-03,9702815.952870473
2023-05-04,9705609.240797384
2023-05-05,9933070.39082224
2023-05-08,9979289.751616774
2023-05-09,9920515.71734649
2023-05-10,9962739.14582107
2023-05-11,9951833.5487826
2023-05-12,9889189.917105433
2023-05-15,9989109.191863285
2023-05-16,9914650.807026027
2023-05-17,10103811.426682903
2023-05-18,10249006.874420729
2023-05-19,10185143.789077595
2023-05-22,10225819.824506512
2023-05-23,10140171.607442059
2023-05-24,10068726.391107615
2023-05-25,10140567.177100874
2023-05-26,10330389.339275273
2023-05-30,10362438.918199113
2023-05-31,10326472.892778357
2023-06-01,10407691.457924057
2023-06-02,10551172.040446559
2023-06-05,10537763.821979996
2023-06-06,10591420.569914442
2023-06-07,10523735.107174924
2023-06-08,10603616.043734627
2023-06-09,10635654.83646854
2023-06-12,10766877.095673718
2023-06-13,10835273.433187775
2023-06-14,10895802.364520928
2023-06-15,11030210.299909016
2023-06-16,10968907.197794743
2023-06-20,10899108.16052558
2023-06-21,10781563.407297375
2023-06-22,10805275.083342174
2023-06-23,10724766.175397307
2023-06-26,10674836.794358132
2023-06-27,10827897.371146576
2023-06-28,10846881.41490519
2023-06-29,10850152.68361176
2023-06-30,10946315.19216266
2023-07-03,11034096.269494822
2023-07-05,11005507.40569522
2023-07-06,10828475.20643908
2023-07-07,10836909.116549006
2023-07-10,10897339.329476811
2023-07-11,11020045.571537727
2023-07-12,11122460.226672359
2023-07-13,11348446.385183971
2023-07-14,11263118.199443521
2023-07-17,11306700.61258826
2023-07-18,11417957.991128111
2023-07-19,11484114.30990999
2023-07-20,11310601.356895454
2023-07-21,11338403.86288254
2023-07-24,11400189.763545468
2023-07-25,11409986.183647448
2023-07-26,11412638.922222693
2023-07-27,11371100.517404582
2023-07-28,11525142.16744146
2023-07-31,11604444.267948994
2023-08-01,11534111.45761879
2023-08-02,11284561.737922933
2023-08-03,11228177.426284874
2023-08-04,11166738.00855888
2023-08-07,11248099.592068512
2023-08-08,11149159.150229622
2023-08-09,11029484.878787437
2023-08-10,11058992.126694622
2023-08-11,10999500.877498124
2023-08-14,11080606.250963716
2023-08-15,10903691.767426651
2023-08-16,10790363.71599524
2023-08-17,10699066.281127973
2023-08-18,10701899.494882325
2023-08-21,10799401.669882312
2023-08-22,10728753.97572712
2023-08-23,10872702.794715902
2023-08-24,10676963.081003612
2023-08-25,10767562.964249188
2023-08-28,10839205.470648684
2023-08-29,11065456.28918189
2023-08-30,11106238.061721878
2023-08-31,11130392.505640518
2023-09-01,11161232.055706115
2023-09-05,11154303.978469266
2023-09-06,11083126.492562171
2023-09-07,11015775.84147887
2023-09-08,11040718.312130937
2023-09-11,11123131.597944155
2023-09-12,11099386.581736686
2023-09-13,11114191.529092943
2023-09-14,11207729.714908065
2023-09-15,11061553.086976605
2023-09-18,11025991.642961767
2023-09-19,10967216.41932926
2023-09-20,10827023.913621048
2023-09-21,10600320.736877806
2023-09-22,10572881.787440455
2023-09-25,10620999.63869061
2023-09-26,10463310.226245193
2023-09-27,10469340.408511084
2023-09-28,10553122.584113907
2023-09-29,10577031.849504702
2023-10-02,10549428.674611133
2023-10-03,10378473.442249136
2023-10-04,10444142.856840547
2023-10-05,10418331.054649975
2023-10-06,10581863.7784032
2023-10-09,10632848.187560515
2023-10-10,10715104.226223709
2023-10-11,10727614.081842447
2023-10-12,10660322.906733908
2023-10-13,10564561.09860936
2023-10-16,10710684.822247686
2023-10-17,10733103.088783195
2023-10-18,10556966.5820905
2023-10-19,10510257.587489532
2023-10-20,10372722.271111492
2023-10-23,10346344.643893383
2023-10-24,10481156.050521154
2023-10-25,10229331.68196827
2023-10-26,10135652.073240345
2023-10-27,10054946.461352358
2023-10-30,10178920.494330617
2023-10-31,10274403.648934154
2023-11-01,10395228.215359379
2023-11-02,10705641.027171602
2023-11-03,10882587.136276092
2023-11-06,10877274.929540051
2023-11-07,10950896.961581392
2023-11-08,10953241.531593274
2023-11-09,10860853.038229678
2023-11-10,11042477.366698027
2023-11-13,11035731.678980034
2023-11-14,11295815.67195409
2023-11-15,11385643.418005437
2023-11-16,11321382.551199649
2023-11-17,11372590.920310974
2023-11-20,11476246.966951659
2023-11-21,11420888.242585622
2023-11-22,11469308.672633512
2023-11-24,11491278.686895413
2023-11-27,11488117.122901188
2023-11-28,11522088.002260968
2023-11-29,11558289.60862759
2023-11-30,11581657.38224684
2023-12-01,11657871.544930004
2023-12-04,11596052.727519166
2023-12-05,11568612.297520392
2023-12-06,11539014.592475055
2023-12-07,11669110.48309121
2023-12-08,11762864.595051914
2023-12-11,11821955.741369467
2023-12-12,11833209.504924554
2023-12-13,12003049.368594505
2023-12-14,12157294.345687112
2023-12-15,12177544.51195782
2023-12-18,12237894.788633794
2023-12-19,12372469.316402718
2023-12-20,12167070.576972969
2023-12-21,12348029.446094658
2023-12-22,12349902.90081242
2023-12-26,12433068.794636281
2023-12-27,12475045.839356486
2023-12-28,12481662.504647302
2023-12-29,12397130.709766231
2024-01-02,12235377.160900084
2024-01-03,12123425.197514469
2024-01-04,12076095.642545847
2024-01-05,12125522.700790077
2024-01-08,12320141.239549967
2024-01-09,12268700.02002054
2024-01-10,12285644.810593583
2024-01-11,12271740.460770762
2024-01-12,12233852.964300148
2024-01-16,12190353.932014234
2024-01-17,12103336.834481495
2024-01-18,12194700.277426442
2024-01-19,12401482.413685493
2024-01-22,12426118.983179884
2024-01-23,12516592.55606035
2024-01-24,12556739.59407369
2024-01-25,12625166.96681083
2024-01-26,12625924.96864653
2024-01-29,12766170.008991001
2024-01-30,12746457.078439856
2024-01-31,12508059.202077143
2024-02-01,12594998.62061891
2024-02-02,12751875.570074445
2024-02-05,12674528.2121163
2024-02-06,12726417.73112082
2024-02-07,12834821.916997684
2024-02-08,12898075.586837823
2024-02-09,13000510.437484829
2024-02-12,13032058.100653173
2024-02-13,12772113.944711436
2024-02-14,13006197.954201471
2024-02-15,13140444.615360554
2024-02-16,13047525.879517723
2024-02-20,12938954.580742849
