,turnover
2021-03-31,0.6282178007405529
2021-04-30,0.9863109391005073
2021-05-28,0.5443088910469889
2021-06-30,0.8449580899412537
2021-07-30,0.6714486313715474
2021-08-31,0.6228305127898542
2021-09-30,0.8850680739277391
2021-10-29,0.6130827970480865
2021-11-30,0.7704221259378956
2021-12-31,0.797419063235364
2022-01-31,0.508750694892522
2022-02-28,0.30278522203109864
2022-03-31,0.21376518396180544
2022-04-29,0.14523383913321064
2022-05-31,0.4943004732521439
2022-06-30,0.20921529362562777
2022-07-29,0.2477381240208466
2022-08-31,0.13509033629781272
2022-09-30,0.19155571280135247
2022-10-31,0.279657922432545
2022-11-30,0.16693550054355452
2022-12-30,0.3952794637235295
2023-01-31,0.756536286860896
2023-02-28,0.43049650062879696
2023-03-31,0.32444004259682296
2023-04-28,0.5218438478299355
2023-05-31,0.47321635938738194
2023-06-30,0.6631545628422342
2023-07-31,0.7849494412485579
2023-08-31,0.8935157285140748
2023-09-29,0.5679280828843525
2023-10-31,0.5618811505379318
2023-11-30,0.4121116582175066
2023-12-29,0.6127467107054793
2024-01-31,1.0456043778305646
2024-02-29,0.795684657264966
2024-03-28,0.7615879374636036
2024-04-30,0.9032370245873511
2024-05-31,0.6446473908692794
2024-06-28,0.5936530557129224
2024-07-31,0.8871533238925909
2024-08-30,0.7454627631042439
2024-09-30,0.505608867968223
2024-10-31,0.5631562567784306
2024-11-29,0.6101704783014833
2024-12-31,0.7045354263758714
2025-01-31,0.6947045478150734
2025-02-28,0.7956550440375416
2025-03-31,0.5507848182157751
2025-04-30,0.36136222403621404
2025-05-30,0.19190547511664918
2025-06-30,0.3280862798121603
2025-07-31,0.9924357282860883
2025-08-29,1.0214979477306865
2025-09-30,1.060480517093492
2025-10-31,0.8351839619582081
2025-11-28,0.6267784922569742
2025-12-31,0.47373151902511806
2026-01-30,0.4811905614714448
