,strategy_return
2021-04-01,10139690.438394139
2021-04-05,10187110.131701002
2021-04-06,10235208.998700509
2021-04-07,10169098.389253616
2021-04-08,10151709.826131174
2021-04-09,10193556.179206744
2021-04-12,9893727.349847171
2021-04-13,9824419.204781266
2021-04-14,9861312.135190915
2021-04-15,9695632.65169215
2021-04-16,9770602.493125321
2021-04-19,9596749.702257965
2021-04-20,9310534.146857902
2021-04-21,9613220.08170955
2021-04-22,9391301.097664965
2021-04-23,9571470.442230992
2021-04-26,9720118.070192754
2021-04-27,9735544.287053682
2021-04-28,9754937.442863427
2021-04-29,9771956.008800214
2021-04-30,9704951.453129668
2021-05-03,9736444.226627722
2021-05-04,9616668.51218253
2021-05-05,9680370.286570478
2021-05-06,9737791.281623824
2021-05-07,9860726.161893226
2021-05-10,9733697.963105964
2021-05-11,9584336.605381718
2021-05-12,9390515.717334885
2021-05-13,9505985.947610145
2021-05-14,9837029.19985392
2021-05-17,9982300.785548557
2021-05-18,9890657.64494948
2021-05-19,9809125.370262107
2021-05-20,9819942.490302812
2021-05-21,9825076.860348163
2021-05-24,10005465.14372016
2021-05-25,10011874.72928511
2021-05-26,10130652.105588766
2021-05-27,10210986.921487873
2021-05-28,10163066.171170454
2021-06-01,10243334.461369794
2021-06-02,10356233.278547756
2021-06-03,10311403.856067464
2021-06-04,10393415.6204364
2021-06-07,10417134.784623818
2021-06-08,10386746.98214506
2021-06-09,10326547.244877068
2021-06-10,10305470.36849673
2021-06-11,10331509.33070316
2021-06-14,10251402.523771355
2021-06-15,10211825.2633177
2021-06-16,10198029.078326598
2021-06-17,10071401.997949343
2021-06-18,9912289.42089669
2021-06-21,10055241.115506658
2021-06-22,10092771.576899508
2021-06-23,10111079.120197844
2021-06-24,10190162.044068621
2021-06-25,10246866.156843115
2021-06-28,10225913.50441298
2021-06-29,10159101.559725672
2021-06-30,10201562.99220509
2021-07-01,10163998.377779918
2021-07-02,10237705.489181615
2021-07-06,10372908.886772953
2021-07-07,10157840.58432979
2021-07-08,9972386.683578579
2021-07-09,10107935.864227917
2021-07-12,10153390.163522644
2021-07-13,10088716.330889907
2021-07-14,9881823.87798834
2021-07-15,9761179.053438766
2021-07-16,9689901.532376314
2021-07-19,9727104.701858899
2021-07-20,9917380.747538963
2021-07-21,10132046.979398454
2021-07-22,10213298.173136014
2021-07-23,10522932.246771375
2021-07-26,10482076.088699609
2021-07-27,10250130.476059804
2021-07-28,10444944.173031468
2021-07-29,10467412.527244534
2021-07-30,10441592.459683228
2021-08-02,10529893.277198346
2021-08-03,10585063.306233566
2021-08-04,10824805.378289344
2021-08-05,10847180.05131547
2021-08-06,10700699.707870528
2021-08-09,10779814.807929935
2021-08-10,10628742.950867133
2021-08-11,10550221.074295392
2021-08-12,10571395.350607784
2021-08-13,10576244.714500492
2021-08-16,10360421.895002244
2021-08-17,10261349.945701221
2021-08-18,10187238.112940025
2021-08-19,10081989.346448738
2021-08-20,10173702.894199071
2021-08-23,10455666.482469035
2021-08-24,10521746.307480955
2021-08-25,10586627.165650263
2021-08-26,10523768.992079278
2021-08-27,10644767.366922906
2021-08-30,10694808.422447536
2021-08-31,10518846.85696502
2021-09-01,10491137.729801549
2021-09-02,10473572.912583409
2021-09-03,10605672.928691676
2021-09-07,10551472.777556632
2021-09-08,10363827.955362944
2021-09-09,10383990.12312453
2021-09-10,10298058.963709584
2021-09-13,10190789.273693262
2021-09-14,10177176.924949838
2021-09-15,10295889.346686265
2021-09-16,10309261.983093984
2021-09-17,10278257.740817953
2021-09-20,9992743.969380133
2021-09-21,10106562.994017998
2021-09-22,10298507.909264006
2021-09-23,10420629.3286197
2021-09-24,10347563.571779996
2021-09-27,10235007.025628513
2021-09-28,9809808.51939177
2021-09-29,9701699.668990187
2021-09-30,9792766.098789008
2021-10-01,9886491.60927254
2021-10-04,9692215.34765113
2021-10-05,9861546.59097221
2021-10-06,9940630.3821838
2021-10-07,10082636.891955016
2021-10-08,10024453.261774905
2021-10-11,9942004.72103602
2021-10-12,9981858.009092458
2021-10-13,10100504.482081542
2021-10-14,10277176.776789641
2021-10-15,10338774.783186503
2021-10-18,10430088.24518637
2021-10-19,10475653.429909639
2021-10-20,10415621.90422386
2021-10-21,10542147.191307055
2021-10-22,10284674.191385802
2021-10-25,10446051.00374683
2021-10-26,10515232.030980185
2021-10-27,10518223.75056676
2021-10-28,10651475.836573362
2021-10-29,10738400.744402615
2021-11-01,11002277.059552
2021-11-02,10938599.935406392
2021-11-03,11064502.021419888
2021-11-04,11211680.770534193
2021-11-05,11090283.705772245
2021-11-08,11469255.631694455
2021-11-09,11200818.582856106
2021-11-10,10925324.763091352
2021-11-11,11307288.939902892
2021-11-12,11339270.02930667
2021-11-15,11368729.959463583
2021-11-16,11394667.399416119
2021-11-17,11283777.39813398
2021-11-18,11193155.282362329
2021-11-19,11360523.67295321
2021-11-22,11092525.947463036
2021-11-23,10946049.111254206
2021-11-24,11065428.179983307
2021-11-26,10809756.05558786
2021-11-29,11020786.990989892
2021-11-30,10679681.39823079
2021-12-01,10311784.815401036
2021-12-02,10408735.770555781
2021-12-03,10021285.297498113
2021-12-06,9959421.348479414
2021-12-07,10393729.9172342
2021-12-08,10408621.610825539
2021-12-09,10081440.27018474
2021-12-10,10082286.20824128
2021-12-13,9852733.370179033
2021-12-14,9806316.683963327
2021-12-15,10149402.081807995
2021-12-16,9775053.559609044
2021-12-17,9737256.44973271
2021-12-20,9580265.343348237
2021-12-21,9954199.626660654
2021-12-22,10097206.811244205
2021-12-23,10227191.122188507
2021-12-27,10392493.519269884
2021-12-28,10200845.005761314
2021-12-29,10130686.431511665
2021-12-30,10131702.115524177
2021-12-31,10035374.336727677
2022-01-03,10274477.16780892
2022-01-04,10048279.494719515
2022-01-05,9710718.073810233
2022-01-06,9653588.364834297
2022-01-07,9531421.082342591
2022-01-10,9567236.220147498
2022-01-11,9702842.38409773
2022-01-12,9764465.439839216
2022-01-13,9475590.508458646
2022-01-14,9561164.804565614
2022-01-18,9288815.430643465
2022-01-19,9020073.252855983
2022-01-20,8869641.820973365
2022-01-21,8630441.961630289
2022-01-24,8623216.377722941
2022-01-25,8410923.177551804
2022-01-26,8448496.835002558
2022-01-27,8139349.597186025
2022-01-28,8375014.218457135
2022-01-31,8859822.250519248
2022-02-01,8979231.3088766
2022-02-02,9117893.823056726
2022-02-03,8934645.500073612
2022-02-04,8894769.47194241
2022-02-07,8912986.214994578
2022-02-08,8956284.79242395
2022-02-09,9081023.914508058
2022-02-10,8964107.180575144
2022-02-11,8846942.09832848
2022-02-14,8803967.263228197
2022-02-15,8988178.446088834
2022-02-16,8964428.663722686
2022-02-17,8802329.894410353
2022-02-18,8774628.593744012
2022-02-22,8664736.303475851
2022-02-23,8539839.683896592
2022-02-24,8563594.883482236
2022-02-25,8790292.762778206
2022-02-28,8754908.257960847
2022-03-01,8646423.097159365
2022-03-02,8884741.549327089
2022-03-03,8834545.195485195
2022-03-04,8777525.139813839
2022-03-07,8572304.490179662
2022-03-08,8565781.942489156
2022-03-09,8672333.144553196
2022-03-10,8608607.938226227
2022-03-11,8516881.658883866
2022-03-14,8386546.169756155
2022-03-15,8462509.39538589
2022-03-16,8618193.54909044
2022-03-17,8680507.085765619
2022-03-18,8676107.240850873
2022-03-21,8725109.509381121
2022-03-22,8808741.507692013
2022-03-23,8705477.89267957
2022-03-24,8825221.093773974
2022-03-25,8915469.668876562
