,strategy_risk
2021-04-01,10089407.254914386
2021-04-05,10177382.637825722
2021-04-06,10148714.719482563
2021-04-07,10175356.637085244
2021-04-08,10162969.89038383
2021-04-09,10191363.991810916
2021-04-12,10110225.262589507
2021-04-13,10085071.96396326
2021-04-14,10074692.118334016
2021-04-15,10070934.317053342
2021-04-16,10096158.360877043
2021-04-19,10058145.658274263
2021-04-20,9923627.398265451
2021-04-21,10003095.153372891
2021-04-22,9912238.914939541
2021-04-23,10000191.124650102
2021-04-26,10044274.271294607
2021-04-27,10038190.44337887
2021-04-28,10087463.392632023
2021-04-29,10163456.537545804
2021-04-30,10103182.239130573
2021-05-03,10148404.204327954
2021-05-04,10084710.822513007
2021-05-05,10103019.86902575
2021-05-06,10179834.323333943
2021-05-07,10251667.104265058
2021-05-10,10157445.441699028
2021-05-11,10044373.0431328
2021-05-12,9901370.305782985
2021-05-13,10007745.369867275
2021-05-14,10223622.938485881
2021-05-17,10232025.657110678
2021-05-18,10113901.699698504
2021-05-19,10054914.453775447
2021-05-20,10127037.186882988
2021-05-21,10120628.854704231
2021-05-24,10253282.917652631
2021-05-25,10244737.009443305
2021-05-26,10304881.018057749
2021-05-27,10352266.194269247
2021-05-28,10317638.094127512
2021-06-01,10345826.231713282
2021-06-02,10366647.094670398
2021-06-03,10359154.472458048
2021-06-04,10439476.776648918
2021-06-07,10446988.91201078
2021-06-08,10405515.418769771
2021-06-09,10381093.373850374
2021-06-10,10402373.341271581
2021-06-11,10413640.90170672
2021-06-14,10378665.7392614
2021-06-15,10362956.765167236
2021-06-16,10308687.528785337
2021-06-17,10218418.361923827
2021-06-18,10061652.130377416
2021-06-21,10191461.81656409
2021-06-22,10238839.777640905
2021-06-23,10229233.316041827
2021-06-24,10310504.023954293
2021-06-25,10356721.399098273
2021-06-28,10386870.437732192
2021-06-29,10328260.967584794
2021-06-30,10364185.132494988
2021-07-01,10384147.901299335
2021-07-02,10418919.559698366
2021-07-06,10400331.376721181
2021-07-07,10322128.493496956
2021-07-08,10215225.179171829
2021-07-09,10319965.11984617
2021-07-12,10389961.026265668
2021-07-13,10342931.461340578
2021-07-14,10296234.569780862
2021-07-15,10244326.6985473
2021-07-16,10155805.207739094
2021-07-19,10127627.58220712
2021-07-20,10279524.538064497
2021-07-21,10457694.111600932
2021-07-22,10483813.18298396
2021-07-23,10521764.439098718
2021-07-26,10521962.31323683
2021-07-27,10431723.448015384
2021-07-28,10531832.627407152
2021-07-29,10557800.912638001
2021-07-30,10524086.080085699
2021-08-02,10609949.000888323
2021-08-03,10706973.650778221
2021-08-04,10787182.953368094
2021-08-05,10778864.36248409
2021-08-06,10746463.158738708
2021-08-09,10767995.74242299
2021-08-10,10793180.657257572
2021-08-11,10729727.430329207
2021-08-12,10776994.141896933
2021-08-13,10858881.838554714
2021-08-16,10817608.37876592
2021-08-17,10802613.361174736
2021-08-18,10680774.388885844
2021-08-19,10679155.719613478
2021-08-20,10745384.82144705
2021-08-23,10905925.008604163
2021-08-24,10910151.627472168
2021-08-25,10935728.250671893
2021-08-26,10857553.978205942
2021-08-27,10941715.910858857
2021-08-30,10966453.135478973
2021-08-31,10889562.206930593
2021-09-01,10902188.201947076
2021-09-02,10915784.655413086
2021-09-03,10993300.130184842
2021-09-07,10960290.479439884
2021-09-08,10862562.819441626
2021-09-09,10849451.296926223
2021-09-10,10745992.783228092
2021-09-13,10690270.11223549
2021-09-14,10656925.161539523
2021-09-15,10746244.134040277
2021-09-16,10738796.319861837
2021-09-17,10624666.57535531
2021-09-20,10407929.045312174
2021-09-21,10432720.551812667
2021-09-22,10574855.905351508
2021-09-23,10686217.80475229
2021-09-24,10592749.399219386
2021-09-27,10516774.835164608
2021-09-28,10197345.594742408
2021-09-29,10166640.543883093
2021-09-30,10161259.285254847
2021-10-01,10187562.445910672
2021-10-04,10117149.611289
2021-10-05,10201524.843768105
2021-10-06,10251150.86991001
2021-10-07,10303153.06709317
2021-10-08,10270707.500527356
2021-10-11,10244573.166618083
2021-10-12,10261767.612621143
2021-10-13,10335638.885976223
2021-10-14,10393902.50351487
2021-10-15,10412415.006869763
2021-10-18,10471029.257392334
2021-10-19,10489838.07431309
2021-10-20,10453337.886005402
2021-10-21,10551996.105691783
2021-10-22,10573389.272604845
2021-10-25,10682549.018559638
2021-10-26,10693029.394678567
2021-10-27,10725481.416644216
2021-10-28,10780794.625237832
2021-10-29,10867308.529974196
2021-11-01,11021383.36794157
2021-11-02,10996225.23495103
2021-11-03,11030592.736529209
2021-11-04,11072155.979145989
2021-11-05,11014702.709966283
2021-11-08,11063905.778072415
2021-11-09,10938106.294983294
2021-11-10,10856709.571793506
2021-11-11,10970967.72329043
2021-11-12,11029112.831590787
2021-11-15,11006185.140268216
2021-11-16,11114612.277779082
2021-11-17,11103794.749488028
2021-11-18,11079840.25012942
2021-11-19,11125919.642984468
2021-11-22,11012225.94376902
2021-11-23,10945191.399539096
