,turnover
2021-03-31,0.9999999999991067
2021-04-30,0.8171924275041402
2021-05-28,0.6164366147914726
2021-06-30,1.3404227600541234
2021-07-30,0.4690113601331133
2021-08-31,0.5809557976849579
2021-09-30,1.0711074117297745
2021-10-29,1.1391576819167486
2021-11-30,0.9153744635595797
2021-12-31,0.5053584150429954
2022-01-31,1.1687109602129517
2022-02-28,0.6020186387519717
2022-03-31,0.9002706206530375
2022-04-29,0.2594958300427792
2022-05-31,0.5769880065308965
2022-06-30,0.46489587136953553
2022-07-29,1.1932171433501457
2022-08-31,1.0253758411333553
2022-09-30,0.40061769046268225
2022-10-31,1.1934730735031125
2022-11-30,0.6798782085610293
2022-12-30,0.48421194493767106
2023-01-31,1.192428713766288
2023-02-28,0.7287452702913665
2023-03-31,1.0000000000003146
2023-04-28,0.7009020374251969
2023-05-31,0.8507210094692456
2023-06-30,1.0000000000004994
2023-07-31,0.8101185523646969
2023-08-31,0.6902622725783912
2023-09-29,1.3063101034922995
2023-10-31,1.362584735433848
2023-11-30,0.9856205697939268
2023-12-29,0.681677619825785
2024-01-31,1.1541225927697587
2024-02-29,0.7515467747495452
2024-03-28,0.7704655185977463
2024-04-30,0.5568044673253778
2024-05-31,0.9038545370494901
2024-06-28,0.7976449219707358
2024-07-31,0.812394926941374
2024-08-30,0.8567214851733894
2024-09-30,0.5584744714922514
2024-10-31,0.4733545698466625
2024-11-29,1.1029489868103053
2024-12-31,0.27986477385194586
2025-01-31,1.2000000000004194
2025-02-28,1.1945332519944087
2025-03-31,1.0837786428873497
2025-04-30,0.5308819589282792
2025-05-30,1.024756757351294
2025-06-30,0.6715956736333965
2025-07-31,0.523094454075543
2025-08-29,0.8026598770184036
2025-09-30,1.1010333256688019
2025-10-31,0.365735419935459
2025-11-28,0.6692991438610884
2025-12-31,1.000000000001332
2026-01-30,1.0000000000009783
