,turnover
2023-03-31,0.5322318969795936
2023-04-28,0.4506969587153997
2023-05-31,0.5197084769698864
2023-06-30,0.5782451468019528
2023-07-31,0.6161705967906087
2023-08-31,0.8039131885409339
2023-09-29,0.4791211090243873
2023-10-31,0.3640926994126592
2023-11-30,0.4572270346359567
2023-12-29,0.5795843001383215
2024-01-31,0.9500445704352178
2024-02-29,0.6675398471069537
2024-03-28,0.7793802772906273
2024-04-30,0.6786115383712897
2024-05-31,0.5572072039436728
2024-06-28,0.5105394197853139
2024-07-31,0.6421755189938894
2024-08-30,0.7159179614378458
2024-09-30,0.45906123984799685
2024-10-31,0.55052282633414
2024-11-29,0.5376223161615757
2024-12-31,0.5818100468730694
2025-01-31,0.6593382715030665
2025-02-28,0.6458730943956384
2025-03-31,0.4359216725531081
2025-04-30,0.292540071133258
2025-05-30,0.21751440959285206
2025-06-30,0.3983635638597289
2025-07-31,0.8453882709047016
2025-08-29,0.9479636718980178
2025-09-30,0.93752040911816
2025-10-31,0.5998209179567927
2025-11-28,0.6804663228198445
2025-12-31,0.5711918663089732
2026-01-30,0.5759836461047869
