,equal_weight
2023-04-03,9968553.549856963
2023-04-04,9918127.558660835
2023-04-05,9837242.651453914
2023-04-06,9886569.086193752
2023-04-10,9939017.189048683
2023-04-11,9936584.690468289
2023-04-12,9832338.748501347
2023-04-13,9963680.915531766
2023-04-14,9979679.529871043
2023-04-17,10029628.691187693
2023-04-18,10033488.317197565
2023-04-19,9951900.238536108
2023-04-20,9834450.397936389
2023-04-21,9847014.130663984
2023-04-24,9806948.503758248
2023-04-25,9599030.285250932
2023-04-26,9577511.673655543
2023-04-27,9785287.003838284
2023-04-28,9881539.107928874
2023-05-01,9843217.808504961
2023-05-02,9689349.931413036
2023-05-03,9582234.137374382
2023-05-04,9595110.607608158
2023-05-05,9823040.343565103
2023-05-08,9865617.339598948
2023-05-09,9808375.626301708
2023-05-10,9841746.68283625
2023-05-11,9843553.976698147
2023-05-12,9762054.428155135
2023-05-15,9871258.290855626
2023-05-16,9787261.96661606
2023-05-17,9973240.86022436
2023-05-18,10095603.005181711
2023-05-19,10037693.510644991
2023-05-22,10098332.412707997
2023-05-23,10021767.208386058
2023-05-24,9930943.187251514
2023-05-25,9969814.58856316
2023-05-26,10158038.123658204
2023-05-30,10189380.774134522
2023-05-31,10155126.092200374
2023-06-01,10235397.49397059
2023-06-02,10363424.917822922
2023-06-05,10351828.545931254
2023-06-06,10413537.227405928
2023-06-07,10356389.362214835
2023-06-08,10422717.852306899
2023-06-09,10443353.84525509
2023-06-12,10573837.272592252
2023-06-13,10652043.448888045
2023-06-14,10706914.360142317
2023-06-15,10839631.648556285
2023-06-16,10773633.396956595
2023-06-20,10714674.423919939
2023-06-21,10583153.666523995
2023-06-22,10605581.668899111
2023-06-23,10515791.326916087
2023-06-26,10465444.289024234
2023-06-27,10643558.996627783
2023-06-28,10665074.981961656
2023-06-29,10675327.94757357
2023-06-30,10766785.620526133
2023-07-03,10867978.547352955
2023-07-05,10841942.462112494
2023-07-06,10662641.461568028
2023-07-07,10678461.878539847
2023-07-10,10751749.635392774
2023-07-11,10862839.285791544
2023-07-12,10960701.69313475
2023-07-13,11166611.233012207
2023-07-14,11070146.593866723
2023-07-17,11096848.151167199
2023-07-18,11191412.279569536
2023-07-19,11285238.454991827
2023-07-20,11116961.354326516
2023-07-21,11142630.758116882
2023-07-24,11230568.202472439
2023-07-25,11239199.521919036
2023-07-26,11272881.293668473
2023-07-27,11222681.034588331
2023-07-28,11396435.593290376
2023-07-31,11477416.25829846
2023-08-01,11407135.795377286
2023-08-02,11164573.690791272
2023-08-03,11129354.06956834
2023-08-04,11060298.33420531
2023-08-07,11142181.8359154
2023-08-08,11034858.644910965
2023-08-09,10918467.585195499
2023-08-10,10944936.902051635
2023-08-11,10885365.408932006
2023-08-14,10949562.267173601
2023-08-15,10765655.642816095
2023-08-16,10647476.438091421
2023-08-17,10561606.300729014
2023-08-18,10542089.568439035
2023-08-21,10646288.300226144
2023-08-22,10575805.781568171
2023-08-23,10708887.355697079
2023-08-24,10524276.3910476
2023-08-25,10614694.688122822
2023-08-28,10686512.73110784
2023-08-29,10907027.611975586
2023-08-30,10935524.172555981
2023-08-31,10948317.465368338
2023-09-01,10993127.490112608
2023-09-05,10974010.715272289
2023-09-06,10901909.466991538
2023-09-07,10821502.886277296
2023-09-08,10836543.17396049
