gamma,lambda,vol,finalV,err
0.0,0.0001,0.32584259978588936,19827242.485584665,0.17584259978588937
0.0,0.0003727593720314938,0.32564069827877656,19883403.923466083,0.17564069827877657
0.0,0.0013894954943731374,0.32431071348031054,20143092.21610903,0.17431071348031055
0.0,0.005179474679231213,0.31858122176085085,20752575.394353956,0.16858122176085086
0.0,0.019306977288832496,0.2864659981925588,20839312.87839255,0.1364659981925588
0.0,0.07196856730011514,0.15761649554979837,16318062.786781427,0.007616495549798374
0.0,0.2682695795279725,0.048389163390414255,13340329.373045675,0.10161083660958574
0.0,1.0,0.013060332115892019,12294896.447014047,0.13693966788410797
10.0,0.0001,0.24352919011768753,20132482.41111258,0.09352919011768754
10.0,0.0003727593720314938,0.2426526050654463,20125794.266198978,0.09265260506544631
10.0,0.0013894954943731374,0.2403940412097456,20158956.370160874,0.09039404120974562
10.0,0.005179474679231213,0.2274503544343704,19874463.63543047,0.0774503544343704
10.0,0.019306977288832496,0.1934956497736225,17595505.619750332,0.0434956497736225
10.0,0.07196856730011514,0.1098928463668588,14440872.757639514,0.0401071536331412
10.0,0.2682695795279725,0.04005250586344868,12986753.752521222,0.1099474941365513
10.0,1.0,0.01229637174130483,12263917.77499197,0.13770362825869517
20.0,0.0001,0.19395170705780793,17698854.30356623,0.04395170705780793
20.0,0.0003727593720314938,0.193326419361386,17735174.57320686,0.04332641936138601
20.0,0.0013894954943731374,0.19063649847259734,17762377.186216403,0.04063649847259734
20.0,0.005179474679231213,0.18088707510784707,17406590.679473512,0.03088707510784708
20.0,0.019306977288832496,0.14970995060908485,15555822.0497051,0.00029004939091514803
20.0,0.07196856730011514,0.08497721741226102,13727553.825638436,0.06502278258773897
20.0,0.2682695795279725,0.03506265572097988,12808994.487886889,0.11493734427902011
20.0,1.0,0.011653432034746076,12236890.24499337,0.1383465679652539
30.0,0.0001,0.16066713397839458,16500602.986588169,0.010667133978394583
30.0,0.0003727593720314938,0.16004558283065992,16437002.45472157,0.010045582830659927
