,equal_weight
2023-04-03,9968553.352135716
2023-04-04,9918127.182749867
2023-04-05,9837242.38259246
2023-04-06,9886568.882979082
2023-04-10,9939016.981269425
2023-04-11,9936584.47457992
2023-04-12,9832338.614188623
2023-04-13,9963680.943647632
2023-04-14,9979679.199567398
2023-04-17,10029628.536876852
2023-04-18,10033488.295310656
2023-04-19,9951900.000806445
2023-04-20,9834450.53317946
2023-04-21,9847014.03087565
2023-04-24,9806948.38598485
2023-04-25,9599030.20522689
2023-04-26,9577511.451204395
2023-04-27,9785286.920777885
2023-04-28,9881538.730081018
2023-05-01,9843217.788495993
2023-05-02,9689349.716100978
2023-05-03,9582233.911173144
2023-05-04,9595110.656083852
2023-05-05,9823040.157060634
2023-05-08,9865617.17953849
2023-05-09,9808375.576966617
2023-05-10,9841746.688764667
2023-05-11,9843553.810043106
2023-05-12,9762054.309553068
2023-05-15,9871258.00744777
2023-05-16,9787261.64625128
2023-05-17,9973240.74005629
2023-05-18,10095602.978939496
2023-05-19,10037693.434730083
2023-05-22,10098332.380004507
2023-05-23,10021767.136604624
2023-05-24,9930943.124900674
2023-05-25,9969814.414276019
2023-05-26,10158037.771681823
2023-05-30,10189380.483776795
2023-05-31,10155125.971945662
2023-06-01,10235397.312870111
2023-06-02,10363424.962075012
2023-06-05,10351828.275466263
2023-06-06,10413537.134328919
2023-06-07,10356389.232222307
2023-06-08,10422717.720246524
2023-06-09,10443353.669144096
2023-06-12,10573836.915113267
2023-06-13,10652043.496993706
2023-06-14,10706914.343051968
2023-06-15,10839631.466154391
2023-06-16,10773633.139169743
2023-06-20,10714674.242867852
2023-06-21,10583153.325120836
2023-06-22,10605581.723006455
2023-06-23,10515791.018734738
2023-06-26,10465444.11866572
2023-06-27,10643558.70511546
2023-06-28,10665074.761880971
2023-06-29,10675327.690494346
2023-06-30,10766785.483038172
2023-07-03,10867978.59223997
2023-07-05,10841942.281974124
2023-07-06,10662641.254338756
2023-07-07,10678461.632963782
2023-07-10,10751749.428517528
2023-07-11,10862839.446007684
2023-07-12,10960701.450786347
2023-07-13,11166611.195045259
2023-07-14,11070146.386831596
2023-07-17,11096848.026847817
2023-07-18,11191411.927923635
2023-07-19,11285238.385250594
2023-07-20,11116961.284220288
2023-07-21,11142630.76621454
2023-07-24,11230568.293132687
2023-07-25,11239199.42744326
2023-07-26,11272881.172634134
2023-07-27,11222680.74424512
2023-07-28,11396435.459028296
2023-07-31,11477416.131575914
2023-08-01,11407135.585069364
2023-08-02,11164573.725955734
2023-08-03,11129353.801925851
2023-08-04,11060298.053415267
2023-08-07,11142181.518311722
2023-08-08,11034858.421452053
2023-08-09,10918467.317704322
2023-08-10,10944936.47781093
2023-08-11,10885365.39535418
2023-08-14,10949562.00945802
2023-08-15,10765655.390558643
2023-08-16,10647476.359653492
2023-08-17,10561605.917205501
2023-08-18,10542089.27235872
2023-08-21,10646288.097225543
2023-08-22,10575805.678887593
2023-08-23,10708887.071021464
2023-08-24,10524276.195760092
2023-08-25,10614694.567595169
2023-08-28,10686512.57534039
2023-08-29,10907027.658600882
2023-08-30,10935523.975366786
2023-08-31,10948317.406765983
2023-09-01,10993127.28102755
