,SPY
2023-04-03,10000000.0
2023-04-04,9944518.975647792
2023-04-05,9918481.197049795
2023-04-06,9957170.382332759
2023-04-10,9967392.17098108
2023-04-11,9970068.829686007
2023-04-12,9929428.71576101
2023-04-13,10061319.957530554
2023-04-14,10036742.104626417
2023-04-17,10072757.709592843
2023-04-18,10079326.990416668
2023-04-19,10077623.872040013
2023-04-20,10022631.541844686
2023-04-21,10030417.55567958
2023-04-24,10040880.228219403
2023-04-25,9881492.821352195
2023-04-26,9839637.513610324
2023-04-27,10035526.910809545
2023-04-28,10121181.528561441
2023-05-01,10110961.279107315
2023-05-02,9997321.802100876
2023-05-03,9928700.676906822
2023-05-04,9858376.433336115
2023-05-05,10040880.228219403
2023-05-08,10043556.117327232
2023-05-09,9999511.30584312
2023-05-10,10046234.315226354
2023-05-11,10028714.437302927
2023-05-12,10015573.56686398
2023-05-15,10050128.476539448
2023-05-16,9982965.737845061
2023-05-17,10104148.805600697
2023-05-18,10201485.137694772
2023-05-19,10186640.379282078
2023-05-22,10190776.963680865
2023-05-23,10076406.36943185
2023-05-24,10003405.467156213
2023-05-25,10090035.164430577
2023-05-26,10220706.594800664
2023-05-30,10224599.986516658
2023-05-31,10167902.998750482
2023-06-01,10264508.213601982
2023-06-02,10412945.023369586
2023-06-05,10392990.909826925
2023-06-06,10415621.682074513
2023-06-07,10379606.846705185
2023-06-08,10442389.808317991
2023-06-09,10461126.419252487
2023-06-12,10556028.515727332
2023-06-13,10625622.411652561
2023-06-14,10638276.12712882
2023-06-15,10770165.060107073
2023-06-16,10733479.905665865
2023-06-20,10677791.859694446
2023-06-21,10623081.971633883
2023-06-22,10661429.455805577
2023-06-23,10580828.012595534
2023-06-26,10537598.974034717
2023-06-27,10653124.733527005
2023-06-28,10658498.060461394
2023-06-29,10700508.057219854
2023-06-30,10826780.470580919
2023-07-03,10839237.16920023
2023-07-05,10823117.188397063
2023-07-06,10738366.077637572
2023-07-07,10711255.480685728
2023-07-10,10738366.077637572
2023-07-11,10806754.784508195
2023-07-12,10893703.094980903
2023-07-13,10980165.020088024
2023-07-14,10973327.149877189
2023-07-17,11011427.593380602
2023-07-18,11093248.847990105
2023-07-19,11117917.51335174
2023-07-20,11044157.01874092
2023-07-21,11044157.01874092
2023-07-24,11093493.579867093
2023-07-25,11123779.53444301
2023-07-26,11125488.809596444
2023-07-27,11051727.545388527
2023-07-28,11159927.510110198
2023-07-31,11181177.625164963
2023-08-01,11149181.625838513
2023-08-02,10994087.801177977
2023-08-03,10962579.726411311
2023-08-04,10912999.203005247
2023-08-07,11008253.774950722
2023-08-08,10960381.757100996
2023-08-09,10887109.187049959
2023-08-10,10891016.43151371
2023-08-11,10884665.716265557
2023-08-14,10944750.470454706
2023-08-15,10817255.93690289
2023-08-16,10737878.922674887
2023-08-17,10656056.12887119
2023-08-18,10661184.72392859
2023-08-21,10730548.510321682
2023-08-22,10701484.675936515
2023-08-23,10820675.256806856
2023-08-24,10670710.027203718
2023-08-25,10745935.83468808
2023-08-28,10814081.34887591
2023-08-29,10970395.754533004
2023-08-30,11015580.339318438
2023-08-31,10999459.58891817
2023-09-01,11019977.047536165
2023-09-05,10972348.222369233
2023-09-06,10898588.49735551
2023-09-07,10865127.954752617
2023-09-08,10881491.897835677
2023-09-11,10953054.423136182
2023-09-12,10892971.977738326
2023-09-13,10905671.099443335
2023-09-14,10999703.551198063
2023-09-15,10867176.622226024
2023-09-18,10873550.4253871
2023-09-19,10850999.691237643
2023-09-20,10751242.976272091
2023-09-21,10573542.236873982
2023-09-22,10549767.843339583
2023-09-25,10594130.498424944
2023-09-26,10438489.490228118
2023-09-27,10442656.088913707
2023-09-28,10503196.444584547
2023-09-29,10477706.619119931
2023-10-02,10473539.250837244
2023-10-03,10333341.747594932
2023-10-04,10408589.103798022
2023-10-05,10404665.697795227
2023-10-06,10528198.345489377
2023-10-09,10595601.968075266
2023-10-10,10650749.756884277
2023-10-11,10694377.446741572
2023-10-12,10629181.028631167
2023-10-13,10576237.365909249
2023-10-16,10687515.719020715
2023-10-17,10687024.716072543
2023-10-18,10544619.23875765
2023-10-19,10451971.292181233
2023-10-20,10323536.310976334
2023-10-23,10305643.178460639
2023-10-24,10383343.2406133
2023-10-25,10234317.689066151
2023-10-26,10111765.508074151
2023-10-27,10065931.383338468
2023-10-30,10186277.899049178
2023-10-31,10250249.888177542
2023-11-01,10359567.307884708
2023-11-02,10558101.040710764
2023-11-03,10654426.89181589
2023-11-06,10678938.559369644
2023-11-07,10709329.948747912
2023-11-08,10717172.912768016
2023-11-09,10633591.589596648
2023-11-10,10799528.267763147
2023-11-13,10789232.597793473
2023-11-14,10998553.003537377
2023-11-15,11021837.1637207
2023-11-16,11035318.965673815
2023-11-17,11049044.72990682
2023-11-20,11134095.21393722
2023-11-21,11109827.508663354
2023-11-22,11152722.542083878
2023-11-24,11159585.039401831
2023-11-27,11139486.24160485
2023-11-28,11150517.646399686
2023-11-29,11142672.37358829
2023-11-30,11186547.873710964
2023-12-01,11252726.297717715
2023-12-04,11193654.333308809
2023-12-05,11191449.437624617
2023-12-06,11146350.278117
2023-12-07,11231402.301341593
2023-12-08,11279688.362429747
2023-12-11,11323561.553761128
2023-12-12,11375277.709112614
2023-12-13,11532144.685485676
2023-12-14,11569155.379499104
