gamma,lambda,vol,finalV,err
0.0,0.07196856730011514,0.22234887640812173,15912890.095232228,0.07234887640812174
1.0,0.07196856730011514,0.21577415072243236,15860812.441946534,0.06577415072243237
2.0,0.07196856730011514,0.2095768870230219,15777961.869025964,0.05957688702302191
3.0,0.07196856730011514,0.20432946511921538,15725664.882558906,0.05432946511921538
4.0,0.07196856730011514,0.1979728401744628,15641794.34094453,0.047972840174462794
5.0,0.07196856730011514,0.19106016669140927,15428470.670898015,0.04106016669140927
