,cost
2023-03-31,10000.000000004717
2023-04-28,9124.76714390923
2023-05-31,8361.267965046705
2023-06-30,10607.959198288268
2023-07-31,8698.48784255661
2023-08-31,10494.827377981357
2023-09-29,6683.937128141886
2023-10-31,11248.884228452334
2023-11-30,8128.753843260094
2023-12-29,8922.557097621642
2024-01-31,9903.33445613544
2024-02-29,9092.580703806032
2024-03-28,12391.847724981428
2024-04-30,11116.491854955493
2024-05-31,13308.897426167821
2024-06-28,16062.156072619504
2024-07-31,14037.190403155171
2024-08-30,9273.308137781609
2024-09-30,11230.395366891285
2024-10-31,12301.433391238843
2024-11-29,8162.625203815916
2024-12-31,13290.019464160156
2025-01-31,22989.437039519235
2025-02-28,15182.99240701841
2025-03-31,16912.925995777907
2025-04-30,12121.809366458494
2025-05-30,4505.9464955185085
2025-06-30,12511.17873606394
2025-07-31,13513.478756774906
2025-08-29,15516.223135721944
2025-09-30,18496.440197547905
2025-10-31,10902.485610683616
2025-11-28,13264.769653486112
2025-12-31,14777.392094667626
2026-01-30,22269.599307169337
