,cost
2023-03-31,4216.907351715482
2023-04-28,4991.612965214726
2023-05-31,7795.435796501838
2023-06-30,9122.92007878492
2023-07-31,7002.902704226832
2023-08-31,9090.428277668352
2023-09-29,6362.971544977957
2023-10-31,6863.881434774578
2023-11-30,5881.698136554056
2023-12-29,7246.287972134123
2024-01-31,12352.39837881899
2024-02-29,9727.483826106161
2024-03-28,8672.88049389463
2024-04-30,11009.872116495431
2024-05-31,9963.947401648202
2024-06-28,11551.14808072575
2024-07-31,14519.686902634297
2024-08-30,8569.68782724548
2024-09-30,7361.966523804747
2024-10-31,10604.66600915045
2024-11-29,8037.088951860451
2024-12-31,13741.210518667041
2025-01-31,14785.310748192063
2025-02-28,12316.832169053176
2025-03-31,11914.77607983536
2025-04-30,8584.837696596534
2025-05-30,3020.447291396794
2025-06-30,6070.539965455639
2025-07-31,16194.767592225242
2025-08-29,13670.168239479664
2025-09-30,17816.50365693266
2025-10-31,11193.544608441407
2025-11-28,9300.244827356775
2025-12-31,7579.070810814922
2026-01-30,14224.20506297644
