,equal_weight
2023-04-03,10041322.792087069
2023-04-04,9980744.87817035
2023-04-05,9877530.54445004
2023-04-06,9909718.398865586
2023-04-10,9969414.945045017
2023-04-11,10032900.89565483
2023-04-12,9885834.159191152
2023-04-13,10018968.10182863
2023-04-14,10008406.135080256
2023-04-17,10045767.481456423
2023-04-18,10042661.85948295
2023-04-19,9944023.328674115
2023-04-20,9761780.241582595
2023-04-21,9716165.744337182
2023-04-24,9705150.855635822
2023-04-25,9488702.441447658
2023-04-26,9440762.05874259
2023-04-27,9626613.219601756
2023-04-28,9716306.14326696
2023-05-01,9682662.481726378
2023-05-02,9502233.440766325
2023-05-03,9441493.909595456
2023-05-04,9405571.628462683
2023-05-05,9662253.507119507
2023-05-08,9752956.350892883
2023-05-09,9699695.402172776
2023-05-10,9709251.954863818
2023-05-11,9705161.326543802
2023-05-12,9610937.741757596
2023-05-15,9727250.070325224
2023-05-16,9603331.657150159
2023-05-17,9829999.983272055
2023-05-18,9934618.980925107
2023-05-19,9898347.941050822
2023-05-22,9975893.493606463
2023-05-23,9893720.359986987
2023-05-24,9811283.656474633
2023-05-25,9841446.177008968
2023-05-26,10033427.464254988
2023-05-30,10031817.631478956
2023-05-31,9975164.607976763
2023-06-01,10106728.758455949
2023-06-02,10262853.715317233
2023-06-05,10271755.24623062
2023-06-06,10349718.064307136
2023-06-07,10375706.717986442
2023-06-08,10453662.026395421
2023-06-09,10486465.238028383
2023-06-12,10620314.007327678
2023-06-13,10759400.188562484
2023-06-14,10830087.515344797
2023-06-15,10957106.714400237
2023-06-16,10908641.363602923
2023-06-20,10804894.902993059
2023-06-21,10715731.62680059
2023-06-22,10685431.812475277
2023-06-23,10575804.951484723
2023-06-26,10555876.737722404
2023-06-27,10787773.410555005
2023-06-28,10850742.019915115
2023-06-29,10892386.467594009
2023-06-30,11005556.977764746
2023-07-03,11162687.535887005
2023-07-05,11129519.286044125
2023-07-06,10942774.057598999
2023-07-07,11068175.64413353
2023-07-10,11135695.099253573
2023-07-11,11310934.437901018
2023-07-12,11414855.605574407
2023-07-13,11589436.36776461
2023-07-14,11419683.239007633
2023-07-17,11450420.556703782
2023-07-18,11564817.398374721
2023-07-19,11631568.10473991
2023-07-20,11456833.918967357
2023-07-21,11471481.27462691
2023-07-24,11588844.813833997
2023-07-25,11585778.233917492
2023-07-26,11614092.094453383
2023-07-27,11483594.830909187
2023-07-28,11666525.970056636
2023-07-31,11823587.46678737
2023-08-01,11694464.918718217
2023-08-02,11415219.528966606
2023-08-03,11430060.08239672
2023-08-04,11353220.969635082
2023-08-07,11421807.095371263
2023-08-08,11357186.43147515
2023-08-09,11222832.316289917
2023-08-10,11208417.281793352
2023-08-11,11144255.016090525
2023-08-14,11188468.284258988
2023-08-15,10978369.281623928
2023-08-16,10855054.284065994
2023-08-17,10805273.026193876
2023-08-18,10797654.510757321
2023-08-21,10882869.723233758
2023-08-22,10821352.008447623
2023-08-23,10961828.809520448
2023-08-24,10776831.122117393
2023-08-25,10834094.24708343
2023-08-28,10937604.924243433
2023-08-29,11186535.187023854
2023-08-30,11235743.676429264
2023-08-31,11220377.791207207
2023-09-01,11291121.81486625
2023-09-05,11301805.498559132
2023-09-06,11223927.809732685
2023-09-07,11128460.433788775
2023-09-08,11123366.896154234
2023-09-11,11172773.954354858
2023-09-12,11177472.468039755
2023-09-13,11131934.61744366
2023-09-14,11260446.805800358
2023-09-15,11153619.908759048
2023-09-18,11090171.541350594
2023-09-19,10994500.395539511
2023-09-20,10866424.17323683
2023-09-21,10617040.481377218
2023-09-22,10570134.258064194
2023-09-25,10598503.006721254
2023-09-26,10468733.363640295
2023-09-27,10538827.138909947
2023-09-28,10626533.558765164
2023-09-29,10644114.001984622
2023-10-02,10576106.924475152
2023-10-03,10400561.459289428
2023-10-04,10431076.101659244
2023-10-05,10367007.9485844
2023-10-06,10505054.69331946
2023-10-09,10590531.765142892
2023-10-10,10691368.957081066
2023-10-11,10724692.004561007
2023-10-12,10623043.542050779
2023-10-13,10548093.787451657
2023-10-16,10713414.740127722
2023-10-17,10756943.29180022
2023-10-18,10573780.73814046
2023-10-19,10535966.42918542
2023-10-20,10378877.020808278
2023-10-23,10342669.244918426
2023-10-24,10489510.156600762
2023-10-25,10253925.884913204
2023-10-26,10141848.033856688
2023-10-27,10074223.655352425
2023-10-30,10170709.687970806
2023-10-31,10255645.461083781
2023-11-01,10363708.176409582
2023-11-02,10677097.144648977
2023-11-03,10871947.016090795
2023-11-06,10815275.618697315
2023-11-07,10819362.317587474
2023-11-08,10751155.913820382
2023-11-09,10649996.742766425
2023-11-10,10824098.289885733
2023-11-13,10836427.870137535
2023-11-14,11115714.88365603
2023-11-15,11218809.443049839
2023-11-16,11087491.695570666
2023-11-17,11157452.684152808
2023-11-20,11273967.894583765
2023-11-21,11190632.07703382
2023-11-22,11234343.584581602
2023-11-24,11264089.201516125
2023-11-27,11249533.454476427
2023-11-28,11337279.516941689
2023-11-29,11351100.143410532
2023-11-30,11333102.591371574
2023-12-01,11489744.552160848
2023-12-04,11435326.993653292
