,turnover
2023-03-31,0.4216907351715482
2023-04-28,0.5058157131462566
2023-05-31,0.7600201243939074
2023-06-30,0.8349169453846278
2023-07-31,0.6220679475810422
2023-08-31,0.8472336028354166
2023-09-29,0.6056673899209561
2023-10-31,0.6741733007695079
2023-11-30,0.5644961737489311
2023-12-29,0.6492050529846071
2024-01-31,1.1385942609345499
2024-02-29,0.7963833236259416
2024-03-28,0.6343091373936146
2024-04-30,0.8293630654694815
2024-05-31,0.713366616785091
2024-06-28,0.8193861449410262
2024-07-31,1.0208837650534912
2024-08-30,0.5990809073490595
2024-09-30,0.4906287926057684
2024-10-31,0.712738127787135
2024-11-29,0.47347120892179684
2024-12-31,0.8313397218046051
2025-01-31,0.8619350622594191
2025-02-28,0.7259140600069818
2025-03-31,0.7175210728948052
2025-04-30,0.5386399172675663
2025-05-30,0.18808013746255808
2025-06-30,0.37453724004700983
2025-07-31,0.990679011077522
2025-08-29,0.8291240721024478
2025-09-30,0.9933183676960882
2025-10-31,0.5656885513280515
2025-11-28,0.4732392340512419
2025-12-31,0.37913436322312677
2026-01-30,0.6639211979092288
