,rebalance_date,ticker,weight
0,2023-03-31,TSLA,0.04291256381452092
1,2023-03-31,AAPL,0.1
2,2023-03-31,AMZN,0.0
3,2023-03-31,NVDA,0.1
4,2023-03-31,MSFT,0.0
5,2023-03-31,AMD,0.0
6,2023-03-31,GOOGL,0.0
7,2023-03-31,NFLX,0.0
8,2023-03-31,GOOG,0.0
9,2023-03-31,BABA,0.0
10,2023-03-31,XOM,0.0
11,2023-03-31,CVX,0.0
12,2023-03-31,BAC,0.0
13,2023-03-31,AVGO,0.0
14,2023-03-31,TSM,0.0
15,2023-03-31,PYPL,0.0
16,2023-03-31,INTC,0.009102650427553977
17,2023-03-31,PFE,0.0
18,2023-03-31,VZ,0.0
19,2023-03-31,WMT,0.0010259697425187724
20,2023-03-31,NKE,0.0
21,2023-03-31,MU,0.0
22,2023-03-31,CSCO,0.015328085848287265
23,2023-03-31,C,0.0
24,2023-03-31,XYZ,0.0
25,2023-03-31,OXY,0.0
26,2023-03-31,CMCSA,0.0
27,2023-03-31,WFC,0.0
28,2023-03-31,COIN,0.0
29,2023-03-31,T,0.0
30,2023-03-31,COP,0.0
31,2023-03-31,F,0.0
32,2023-03-31,NIO,0.0
33,2023-03-31,DVN,0.0
34,2023-03-31,UBER,0.0
35,2023-03-31,ORCL,0.0
36,2023-03-31,SLB,0.0
37,2023-03-31,FCX,0.0
38,2023-03-31,VALE,0.0
39,2023-03-31,CCL,0.0
40,2023-03-31,RIVN,0.0
41,2023-03-31,RTX,0.0
42,2023-03-31,AAL,0.0
43,2023-03-31,CMG,0.0044519393588107435
44,2023-03-31,U,0.0
45,2023-03-31,PBR,0.0
46,2023-03-31,HAL,0.0
47,2023-03-31,B,0.06158668461302554
48,2023-03-31,WBD,0.08564320761602472
49,2023-03-31,SNAP,0.0016396337508062463
50,2023-04-28,TSLA,0.0
51,2023-04-28,AAPL,0.1
52,2023-04-28,AMZN,0.0
53,2023-04-28,NVDA,0.08378542084326017
54,2023-04-28,MSFT,0.04011674216031283
55,2023-04-28,AMD,0.0
56,2023-04-28,GOOGL,0.0
57,2023-04-28,NFLX,0.0
58,2023-04-28,GOOG,0.0
59,2023-04-28,BABA,0.0
60,2023-04-28,XOM,0.0
61,2023-04-28,CVX,0.0
62,2023-04-28,BAC,0.0
63,2023-04-28,AVGO,0.0
64,2023-04-28,TSM,0.0
65,2023-04-28,PYPL,0.0
66,2023-04-28,INTC,0.0
67,2023-04-28,PFE,0.0
68,2023-04-28,VZ,0.0
69,2023-04-28,WMT,0.1
70,2023-04-28,NKE,0.0
71,2023-04-28,MU,0.0
72,2023-04-28,CSCO,0.0
73,2023-04-28,C,0.0
74,2023-04-28,XYZ,0.0
75,2023-04-28,OXY,0.0
76,2023-04-28,CMCSA,0.0
77,2023-04-28,WFC,0.0
78,2023-04-28,COIN,0.0
79,2023-04-28,T,0.0
80,2023-04-28,COP,0.0
81,2023-04-28,F,0.0
82,2023-04-28,NIO,0.0
83,2023-04-28,DVN,0.0
84,2023-04-28,UBER,0.0
85,2023-04-28,ORCL,0.0
86,2023-04-28,SLB,0.0
87,2023-04-28,FCX,0.0
88,2023-04-28,VALE,0.0
89,2023-04-28,CCL,0.0
90,2023-04-28,RIVN,0.0
91,2023-04-28,RTX,0.0
92,2023-04-28,AAL,0.0
93,2023-04-28,CMG,0.1
94,2023-04-28,U,0.0
95,2023-04-28,PBR,0.03874947486031483
96,2023-04-28,HAL,0.0
97,2023-04-28,B,0.0
98,2023-04-28,WBD,0.0
99,2023-04-28,SNAP,0.0
100,2023-05-31,TSLA,0.0
101,2023-05-31,AAPL,0.00781493295584944
102,2023-05-31,AMZN,0.06490471727171399
103,2023-05-31,NVDA,0.09015382095307967
104,2023-05-31,MSFT,0.012172868787831814
105,2023-05-31,AMD,0.010439759206549297
106,2023-05-31,GOOGL,0.1
107,2023-05-31,NFLX,0.0
108,2023-05-31,GOOG,0.1
109,2023-05-31,BABA,0.0
110,2023-05-31,XOM,0.0
111,2023-05-31,CVX,0.0
112,2023-05-31,BAC,0.0
113,2023-05-31,AVGO,0.05862702980623842
114,2023-05-31,TSM,0.0
115,2023-05-31,PYPL,0.0
116,2023-05-31,INTC,0.08540736627134485
117,2023-05-31,PFE,0.0
118,2023-05-31,VZ,0.0
119,2023-05-31,WMT,0.1
120,2023-05-31,NKE,0.0
121,2023-05-31,MU,0.0
122,2023-05-31,CSCO,0.0
123,2023-05-31,C,0.0
124,2023-05-31,XYZ,0.0
125,2023-05-31,OXY,0.0
126,2023-05-31,CMCSA,0.0
127,2023-05-31,WFC,0.0
128,2023-05-31,COIN,0.0
129,2023-05-31,T,0.0
130,2023-05-31,COP,0.0
131,2023-05-31,F,0.0
132,2023-05-31,NIO,0.0
133,2023-05-31,DVN,0.0
134,2023-05-31,UBER,0.0
135,2023-05-31,ORCL,0.052893386171924524
136,2023-05-31,SLB,0.0
137,2023-05-31,FCX,0.0
138,2023-05-31,VALE,0.0
139,2023-05-31,CCL,0.0
140,2023-05-31,RIVN,0.0
141,2023-05-31,RTX,0.0
142,2023-05-31,AAL,0.0
143,2023-05-31,CMG,0.1
144,2023-05-31,U,0.0
145,2023-05-31,PBR,0.1
146,2023-05-31,HAL,0.0
147,2023-05-31,B,0.1
148,2023-05-31,WBD,0.0
149,2023-05-31,SNAP,0.0
150,2023-06-30,TSLA,0.0
151,2023-06-30,AAPL,0.0008852856730249833
152,2023-06-30,AMZN,0.1
153,2023-06-30,NVDA,0.02728226292540079
154,2023-06-30,MSFT,0.0
155,2023-06-30,AMD,0.0
156,2023-06-30,GOOGL,0.027204680120467353
157,2023-06-30,NFLX,0.02306505002466718
158,2023-06-30,GOOG,0.020188747368495383
159,2023-06-30,BABA,0.0
160,2023-06-30,XOM,0.0
161,2023-06-30,CVX,0.0
162,2023-06-30,BAC,0.0
163,2023-06-30,AVGO,0.05158182044880509
164,2023-06-30,TSM,0.0
165,2023-06-30,PYPL,0.0
166,2023-06-30,INTC,0.0
167,2023-06-30,PFE,0.0
168,2023-06-30,VZ,0.0
169,2023-06-30,WMT,0.09432200400792715
170,2023-06-30,NKE,0.0
171,2023-06-30,MU,0.0
172,2023-06-30,CSCO,0.0
173,2023-06-30,C,0.0
174,2023-06-30,XYZ,0.0
175,2023-06-30,OXY,0.0
176,2023-06-30,CMCSA,0.0
177,2023-06-30,WFC,0.052923607328498136
178,2023-06-30,COIN,0.0011465411460505417
179,2023-06-30,T,0.0
180,2023-06-30,COP,0.01676930868592974
181,2023-06-30,F,0.015861136052982953
182,2023-06-30,NIO,0.0
183,2023-06-30,DVN,0.0
184,2023-06-30,UBER,0.1
185,2023-06-30,ORCL,0.1
186,2023-06-30,SLB,0.0
187,2023-06-30,FCX,0.0
188,2023-06-30,VALE,0.0
189,2023-06-30,CCL,0.099798428153365
190,2023-06-30,RIVN,0.0
191,2023-06-30,RTX,0.0
192,2023-06-30,AAL,0.0
193,2023-06-30,CMG,0.1
194,2023-06-30,U,0.0
195,2023-06-30,PBR,0.1
196,2023-06-30,HAL,0.0
197,2023-06-30,B,0.0
198,2023-06-30,WBD,0.0
199,2023-06-30,SNAP,0.0
200,2023-07-31,TSLA,0.013822571904515477
201,2023-07-31,AAPL,0.0
202,2023-07-31,AMZN,0.08919291204680867
203,2023-07-31,NVDA,0.06643567649287554
204,2023-07-31,MSFT,0.0
205,2023-07-31,AMD,0.0
206,2023-07-31,GOOGL,0.038580873791591204
207,2023-07-31,NFLX,0.0
