gamma,lambda,vol,finalV,err
0.0,0.0001,0.3508692259120155,13003307.688568324,0.2093692259120155
0.0,0.0003727593720314938,0.35057351018420585,12954705.817848934,0.20907351018420584
0.0,0.0013894954943731374,0.3496821188463039,13045494.727533001,0.2081821188463039
0.0,0.005179474679231213,0.345073689098001,13116876.041315766,0.203573689098001
0.0,0.019306977288832496,0.32740950967708715,12542216.937952818,0.18590950967708714
0.0,0.07196856730011514,0.22234887640812173,15912890.095232228,0.08084887640812172
0.0,0.2682695795279725,0.07233787359564257,13612698.439755125,0.06916212640435744
0.0,1.0,0.01981163569342794,12343345.209830588,0.12168836430657207
10.0,0.0001,0.29773139457461645,15261090.615124755,0.15623139457461643
10.0,0.0003727593720314938,0.2973881395063401,15210454.830163637,0.15588813950634006
10.0,0.0013894954943731374,0.2962573816458052,15098525.87205899,0.15475738164580516
10.0,0.005179474679231213,0.2911982497812344,14585911.726564322,0.14969824978123436
10.0,0.019306977288832496,0.26934001161478743,14757975.718551647,0.12784001161478742
10.0,0.07196856730011514,0.16285130335682613,14406712.690453893,0.021351303356826112
10.0,0.2682695795279725,0.05786527270818677,13179081.544222344,0.08363472729181325
10.0,1.0,0.01830022819005623,12301290.9693976,0.12319977180994379
20.0,0.0001,0.25942026093194176,15463007.166908106,0.11792026093194174
20.0,0.0003727593720314938,0.25887077469906866,15494375.30920251,0.11737077469906865
20.0,0.0013894954943731374,0.2576764126068849,15422140.268417079,0.11617641260688488
20.0,0.005179474679231213,0.25179067988682896,14728839.719720013,0.11029067988682895
20.0,0.019306977288832496,0.2316438991899529,13223384.051739369,0.09014389918995289
20.0,0.07196856730011514,0.13168649885973382,13363662.573021714,0.00981350114026619
20.0,0.2682695795279725,0.051081487179423776,12941306.078401156,0.09041851282057624
20.0,1.0,0.017246086703677346,12267295.178618228,0.12425391329632267
30.0,0.0001,0.23182462314584554,14425682.090456266,0.09032462314584552
30.0,0.0003727593720314938,0.23137422399636057,14381028.790246496,0.08987422399636055
30.0,0.0013894954943731374,0.22928701454518394,14174506.944807885,0.08778701454518392
30.0,0.005179474679231213,0.2242723782292986,13450918.138281373,0.08277237822929859
30.0,0.019306977288832496,0.2064037049251915,12071107.52155686,0.06490370492519149
30.0,0.07196856730011514,0.11321228952495517,12926384.61037231,0.028287710475044844
30.0,0.2682695795279725,0.046684399383363356,12752907.514366338,0.09481560061663666
30.0,1.0,0.016427919110519357,12240842.263225252,0.12507208088948066
40.0,0.0001,0.20989222559028664,13224688.939145429,0.06839222559028663
40.0,0.0003727593720314938,0.20979085881933937,13184142.288260946,0.06829085881933936
40.0,0.0013894954943731374,0.20928842650326526,13049461.58466946,0.06778842650326525
40.0,0.005179474679231213,0.20488302736533742,12579136.366888033,0.06338302736533741
40.0,0.019306977288832496,0.1827427915239508,11740373.811612528,0.04124279152395077
40.0,0.07196856730011514,0.10014695064360682,12686689.205944194,0.041353049356393196
40.0,0.2682695795279725,0.04321864288593175,12631515.295523774,0.09828135711406827
40.0,1.0,0.015756838598312655,12219807.369116146,0.12574316140168737
50.0,0.0001,0.19464895344933617,12439991.893704263,0.05314895344933615
50.0,0.0003727593720314938,0.1943904659659086,12414963.46252043,0.05289046596590857
50.0,0.0013894954943731374,0.1938165937004051,12249352.92445424,0.05231659370040509
50.0,0.005179474679231213,0.19149689021487667,11837091.353200179,0.04999689021487666
50.0,0.019306977288832496,0.16143988597703024,11707619.653743986,0.019939885977030225
50.0,0.07196856730011514,0.09076349076379116,12509784.269535039,0.05073650923620886
50.0,0.2682695795279725,0.040629911041686596,12531310.068319805,0.10087008895831343
