,SPY
2023-04-03,10000000.0
2023-04-04,9944520.50203293
2023-04-05,9918483.487020627
2023-04-06,9957174.990027944
2023-04-10,9967392.16345261
2023-04-11,9970071.131567348
2023-04-12,9929433.31705122
2023-04-13,10061323.050077155
2023-04-14,10036745.191498507
2023-04-17,10072760.035182908
2023-04-18,10079329.317523444
2023-04-19,10077626.96835085
2023-04-20,10022631.54706984
2023-04-21,10030419.10189691
2023-04-24,10040881.776852347
2023-04-25,9881494.333185904
2023-04-26,9839642.094169617
2023-04-27,10035529.227803795
2023-04-28,10121183.095734283
2023-05-01,10110965.152712341
2023-05-02,9997325.649468912
2023-05-03,9928704.50843167
2023-05-04,9858378.709430005
2023-05-05,10040881.776852347
2023-05-08,10043559.205772534
2023-05-09,9999513.614522116
2023-05-10,10046235.09549817
2023-05-11,10028715.98312704
2023-05-12,10015575.109654145
2023-05-15,10050130.02730762
2023-05-16,9982967.273106754
2023-05-17,10104150.368841039
2023-05-18,10201485.184213497
2023-05-19,10186641.961568005
2023-05-22,10190779.31651912
2023-05-23,10076411.00465614
2023-05-24,10003407.77673429
2023-05-25,10090037.494009648
2023-05-26,10220710.493743597
2023-05-30,10224603.116761222
2023-05-31,10167906.11590489
2023-06-01,10264510.58346325
2023-06-02,10412948.197099095
2023-06-05,10392994.078949444
2023-06-06,10415623.317227459
2023-06-07,10379610.012737604
2023-06-08,10442389.910456587
2023-06-09,10461128.834508805
2023-06-12,10556029.413700016
2023-06-13,10625625.634484854
2023-06-14,10638278.583285317
2023-06-15,10770169.085908528
2023-06-16,10733483.153400207
2023-06-20,10677796.633766126
2023-06-21,10623085.963476915
2023-06-22,10661431.14771042
2023-06-23,10580830.455488456
2023-06-26,10537599.867752405
2023-06-27,10653127.193111736
2023-06-28,10658502.060481265
2023-06-29,10700509.75814713
2023-06-30,10826782.970259143
2023-07-03,10839240.441351723
2023-07-05,10823120.456826786
2023-07-06,10738367.787305478
2023-07-07,10711256.414497089
2023-07-10,10738367.787305478
2023-07-11,10806755.740368355
2023-07-12,10893705.61011017
2023-07-13,10980166.785582272
2023-07-14,10973328.913792714
2023-07-17,11011430.135690004
2023-07-18,11093252.178787604
2023-07-19,11117920.849844722
2023-07-20,11044159.568606867
2023-07-21,11044159.568606867
2023-07-24,11093496.141123822
2023-07-25,11123781.33309486
2023-07-26,11125492.14783748
2023-07-27,11051731.6361969
2023-07-28,11159930.086705139
2023-07-31,11181180.206666112
2023-08-01,11149183.430355178
2023-08-02,10994088.80028943
2023-08-03,10962582.257442757
2023-08-04,10913000.952992307
2023-08-07,11008256.316527355
2023-08-08,10960384.287624976
2023-08-09,10887111.70065683
2023-08-10,10891018.176425405
2023-08-11,10884668.229308281
2023-08-14,10944752.227772472
2023-08-15,10817257.66478482
2023-08-16,10737879.862633044
2023-08-17,10656059.358729992
2023-08-18,10661186.415776929
2023-08-21,10730551.757379225
2023-08-22,10701486.377089273
2023-08-23,10820678.52467279
2023-08-24,10670712.490848526
2023-08-25,10745939.854895512
2023-08-28,10814083.0760249
2023-08-29,10970398.287369007
2023-08-30,11015583.652183898
2023-08-31,10999463.66765896
2023-09-01,11019978.822222183
2023-09-05,10972352.294850571
2023-09-06,10898590.244015438
2023-09-07,10865129.6936872
2023-09-08,10881494.410145631
2023-09-11,10953058.491162984
2023-09-12,10892972.183906967
2023-09-13,10905675.156530315
2023-09-14,10999706.860397901
2023-09-15,10867180.670425432
2023-09-18,10873552.935863532
2023-09-19,10851001.426910307
2023-09-20,10751245.45851028
2023-09-21,10573545.447682047
2023-09-22,10549768.73986681
2023-09-25,10594134.483583681
2023-09-26,10438492.669855313
2023-09-27,10442659.269502884
2023-09-28,10503199.63915123
2023-09-29,10477709.03820427
2023-10-02,10473542.4385567
2023-10-03,10333342.594153877
2023-10-04,10408589.967730017
2023-10-05,10404667.330418665
2023-10-06,10528200.776231205
2023-10-09,10595603.64478191
2023-10-10,10650752.985517949
2023-10-11,10694380.68544797
2023-10-12,10629183.482687794
2023-10-13,10576239.807742286
2023-10-16,10687517.416948333
2023-10-17,10687027.183484072
2023-10-18,10544623.212485269
2023-10-19,10451972.935726546
2023-10-20,10323538.694465958
2023-10-23,10305644.788221838
2023-10-24,10383344.09871655
2023-10-25,10234320.05195705
2023-10-26,10111767.07307303
2023-10-27,10065934.476949753
2023-10-30,10186280.250848692
2023-10-31,10250253.024344131
2023-11-01,10359568.930095864
2023-11-02,10558103.4783565
2023-11-03,10654428.582103984
2023-11-06,10678938.716122424
2023-11-07,10709332.421309257
2023-11-08,10717176.156737411
2023-11-09,10633594.814268857
2023-11-10,10799530.761149405
2023-11-13,10789236.627997225
2023-11-14,10998556.312471576
2023-11-15,11021839.708433455
2023-11-16,11035319.20470741
2023-11-17,11049047.280901236
2023-11-20,11134097.78456802
2023-11-21,11109832.382483074
2023-11-22,11152723.577820791
2023-11-24,11159587.615917703
2023-11-27,11139491.122272154
2023-11-28,11150519.45122481
2023-11-29,11142676.48539393
2023-11-30,11186549.686854716
2023-12-01,11252728.895737963
2023-12-04,11193659.226482395
2023-12-05,11191453.560691863
2023-12-06,11146352.85157724
2023-12-07,11231404.1248413
2023-12-08,11279690.1970777
2023-12-11,11323561.859343939
2023-12-12,11375279.565830158
2023-12-13,11532146.578420538
2023-12-14,11569157.280978965
2023-12-15,11550108.20922487
2023-12-18,11615078.380788881
2023-12-19,11685708.170714222
2023-12-20,11523777.208053466
2023-12-21,11633045.39877414
2023-12-22,11656423.455200857
2023-12-26,11705643.048931995
2023-12-27,11726808.513192706
2023-12-28,11731237.545511097
2023-12-29,11697275.987356748
2024-01-02,11631814.043133926
2024-01-03,11536820.342672423
2024-01-04,11499658.79904807
2024-01-05,11515410.14647822
2024-01-08,11679802.28122485
2024-01-09,11662083.073562186
2024-01-10,11728038.329638368
2024-01-11,11722869.714338575
2024-01-12,11730990.504785778
2024-01-16,11687923.84126933
2024-01-17,11622953.669705318
2024-01-18,11726315.97093662
2024-01-19,11872497.125361778
2024-01-22,11897599.84928207
2024-01-23,11932298.681625998
2024-01-24,11945342.585842228
2024-01-25,12010311.987808963
2024-01-26,11995054.72182945
2024-01-29,12090046.883096404
2024-01-30,12080697.815398088
2024-01-31,11883572.39974822
2024-02-01,12039104.930663519
2024-02-02,12165846.827516088
2024-02-05,12121548.808359427
2024-02-06,12156739.413362164
2024-02-07,12258133.084763674
2024-02-08,12263546.431996962
2024-02-09,12334422.493050342
2024-02-12,12329008.376219783
2024-02-13,12159201.355045315
2024-02-14,12269699.36221165
2024-02-15,12354357.371268116
2024-02-16,12292831.9171076
2024-02-20,12225156.611121496
2024-02-21,12236229.576716112
2024-02-22,12489465.560098661
2024-02-23,12498078.89280195
2024-02-26,12452304.016474307
2024-02-27,12475436.571370257
2024-02-28,12458947.949750531
2024-02-29,12503737.741566004
2024-03-01,12621127.492331155
2024-03-04,12607591.815456115
2024-03-05,12481589.501584947
2024-03-06,12544837.314447211
2024-03-07,12669360.462355573
2024-03-08,12593318.864391496
2024-03-11,12582490.630730374
2024-03-12,12717843.551494408
2024-03-13,12697907.90367936
2024-03-14,12672809.027745444
2024-03-15,12585789.89424887
2024-03-18,12660587.053419055
2024-03-19,12730945.175506273
2024-03-20,12848695.867393466
2024-03-21,12891156.088257108
2024-03-22,12866719.065979807
2024-03-25,12831169.828646857
2024-03-26,12807471.619753685
2024-03-27,12915104.4162647
2024-03-28,12912634.009011524
2024-04-01,12890167.155758562
2024-04-02,12808212.741929637
2024-04-03,12822283.288910896
2024-04-04,12665772.599858902
2024-04-05,12798089.459372537
2024-04-08,12805246.714031275
2024-04-09,12820061.461577587
2024-04-10,12691692.636085385
2024-04-11,12787475.943351176
2024-04-12,12610969.577896673
2024-04-15,12452976.644492773
2024-04-16,12430265.05930632
2024-04-17,12356700.794970896
2024-04-18,12331274.070597775
2024-04-19,12223642.81328131
2024-04-22,12336211.037117753
2024-04-23,12482600.752404472
2024-04-24,12476676.392580496
2024-04-25,12429277.666002326
2024-04-26,12547031.436278615
2024-04-29,12591465.674152976
2024-04-30,12392002.221981253
2024-05-01,12351763.058853645
2024-05-02,12467295.7713939
2024-05-03,12621831.673837902
2024-05-06,12752172.97714627
2024-05-07,12766245.832919354
2024-05-08,12767478.727754118
2024-05-09,12841042.222492265
2024-05-10,12857583.946323976
2024-05-13,12859313.2314012
2024-05-14,12918313.636902006
2024-05-15,13078280.587316621
2024-05-16,13051370.848994317
2024-05-17,13070133.630562061
2024-05-20,13085190.031652767
2024-05-21,13117282.238025816
2024-05-22,13079513.482151384
2024-05-23,12983980.294000013
2024-05-24,13069887.35943402
2024-05-28,13079019.400700748
2024-05-29,12987434.246570809
2024-05-30,12901280.140411485
2024-05-31,13018784.56117063
2024-06-03,13029400.385983817
2024-06-04,13043965.784012988
2024-06-05,13198994.99831035
2024-06-06,13198748.727182306
2024-06-07,13182702.623995781
2024-06-10,13223434.329379475
2024-06-11,13255280.264624486
2024-06-12,13364144.41677571
2024-06-13,13391054.155098017
2024-06-14,13399202.651047125
2024-06-17,13505845.745462319
2024-06-18,13540159.009571403
2024-06-20,13503376.877403691
2024-06-21,13485274.410298012
2024-06-24,13441436.61031188
2024-06-25,13493199.723037332
2024-06-26,13510040.050611796
2024-06-27,13531336.34640928
2024-06-28,13478090.98933192
2024-07-01,13505830.353516817
2024-07-02,13596719.791710038
2024-07-03,13657396.38007608
2024-07-05,13736152.34762955
2024-07-08,13752001.433913643
2024-07-09,13765377.034555458
2024-07-10,13901588.056281265
2024-07-11,13781720.202290181
2024-07-12,13868647.753711017
2024-07-15,13906790.533861164
2024-07-16,13989257.499475326
