,cost
2023-03-31,5322.32202565665
2023-04-28,4443.041203959934
2023-05-31,5314.012159298536
2023-06-30,6145.285676621289
2023-07-31,6776.319213973738
2023-08-31,8234.785930112812
2023-09-29,4757.414655326563
2023-10-31,3574.8587885620077
2023-11-30,4556.4042282414575
2023-12-29,6152.133850785381
2024-01-31,9932.914729822662
2024-02-29,8073.508965400145
2024-03-28,9900.62032534289
2024-04-30,8148.899362647948
2024-05-31,6882.393974425054
2024-06-28,6442.272583486403
2024-07-31,8107.159562638557
2024-08-30,9258.02304726502
2024-09-30,6180.731574098443
2024-10-31,7443.466586942487
2024-11-29,8432.87107075498
2024-12-31,8924.88017822298
2025-01-31,10544.490453689952
2025-02-28,9881.478128104267
2025-03-31,6542.864696602174
2025-04-30,4309.618093474362
2025-05-30,3238.1717295782037
2025-06-30,6009.183369849949
2025-07-31,12959.128474097686
2025-08-29,13981.528394444727
2025-09-30,15603.715001558287
2025-10-31,11371.733535725049
2025-11-28,12386.762886980203
2025-12-31,10464.573519242893
2026-01-30,11123.106143785088
