,SPY
2023-04-03,10000000.0
2023-04-04,9944518.967108184
2023-04-05,9918483.493294114
2023-04-06,9957172.684532097
2023-04-10,9967391.396364884
2023-04-11,9970071.133870667
2023-04-12,9929432.552884797
2023-04-13,10061321.50616332
2023-04-14,10036744.41907339
2023-04-17,10072760.799180534
2023-04-18,10079328.541821066
2023-04-19,10077626.192779485
2023-04-20,10022630.775730906
2023-04-21,10030417.560361434
2023-04-24,10040882.54330331
2023-04-25,9881493.57270885
2023-04-26,9839641.3369135
2023-04-27,10035528.45547226
2023-04-28,10121182.31681085
2023-05-01,10110963.604978062
2023-05-02,9997322.571285866
2023-05-03,9928702.974724118
2023-05-04,9858377.950731926
2023-05-05,10040882.54330331
2023-05-08,10043557.663225798
2023-05-09,9999512.844962332
2023-05-10,10046236.631134365
2023-05-11,10028714.441722635
2023-05-12,10015575.108455488
2023-05-15,10050128.484255197
2023-05-16,9982967.274417588
2023-05-17,10104151.130422872
2023-05-18,10201485.168707253
2023-05-19,10186640.40800966
2023-05-22,10190779.301836798
2023-05-23,10076409.459581139
2023-05-24,10003407.00687481
2023-05-25,10090035.17828874
2023-05-26,10220708.167966131
2023-05-30,10224603.099475827
2023-05-31,10167905.333385665
2023-06-01,10264509.023912156
2023-06-02,10412947.3957215
2023-06-05,10392993.279107515
2023-06-06,10415622.515643988
2023-06-07,10379608.444328493
2023-06-08,10442389.876410384
2023-06-09,10461127.259826025
2023-06-12,10556029.370908149
2023-06-13,10625624.816739663
2023-06-14,10638278.534163574
2023-06-15,10770167.487442097
2023-06-16,10733482.327354334
2023-06-20,10677795.81200587
2023-06-21,10623084.37632996
2023-06-22,10661431.096806863
2023-06-23,10580831.180385122
2023-06-26,10537599.826378867
2023-06-27,10653126.373250032
2023-06-28,10658500.470608698
2023-06-29,10700508.934638876
2023-06-30,10826781.367435725
2023-07-03,10839239.607166797
2023-07-05,10823119.623882448
2023-07-06,10738366.960883683
2023-07-07,10711254.820564562
2023-07-10,10738366.960883683
2023-07-11,10806754.908683442
2023-07-12,10893706.310928049
2023-07-13,10980169.018940557
2023-07-14,10973328.838885592
2023-07-17,11011429.288253408
2023-07-18,11093252.864248438
2023-07-19,11117919.994212627
2023-07-20,11044157.949054204
2023-07-21,11044157.949054204
2023-07-24,11093496.82656588
2023-07-25,11123781.246608961
2023-07-26,11125490.522025486
2023-07-27,11051730.016061494
2023-07-28,11159930.767034456
2023-07-31,11181178.576568382
2023-08-01,11149184.111511558
2023-08-02,10994089.493381849
2023-08-03,10962581.413765477
2023-08-04,10913000.113130791
2023-08-07,11008253.930140581
2023-08-08,10960384.213714069
2023-08-09,10887110.862787744
2023-08-10,10891018.877450109
2023-08-11,10884668.16122446
2023-08-14,10944751.385467388
2023-08-15,10817256.832291683
2023-08-16,10737879.805846013
2023-08-17,10656058.53864263
2023-08-18,10661185.595294992
2023-08-21,10730550.161961734
2023-08-22,10701485.55350586
2023-08-23,10820677.691916382
2023-08-24,10670711.669633463
2023-08-25,10745937.488696542
2023-08-28,10814082.243776076
2023-08-29,10970398.212687427
2023-08-30,11015582.804427646
2023-08-31,10999462.051546082
2023-09-01,11019978.743724896
2023-09-05,10972351.450421393
2023-09-06,10898589.405262968
2023-09-07,10865128.857509844
2023-09-08,10881493.57270885
2023-09-11,10953056.878621437
2023-09-12,10892972.115184076
2023-09-13,10905672.008440943
2023-09-14,10999706.783460742
2023-09-15,10867178.2948958
2023-09-18,10873550.559843494
2023-09-19,10851002.131014692
2023-09-20,10751245.400694638
2023-09-21,10573544.63394493
2023-09-22,10549768.69755676
2023-09-25,10594132.898664825
2023-09-26,10438492.636109041
2023-09-27,10442658.465838734
2023-09-28,10503198.830827909
2023-09-29,10477707.462245485
2023-10-02,10473540.862918573
2023-10-03,10333340.259708276
2023-10-04,10408589.166687831
2023-10-05,10404666.529678361
2023-10-06,10528199.196386587
2023-10-09,10595604.368541636
2023-10-10,10650751.396241749
2023-10-11,10694381.40160584
2023-10-12,10629183.434266007
2023-10-13,10576239.763395032
2023-10-16,10687516.594439967
2023-10-17,10687025.591416221
2023-10-18,10544621.631376788
2023-10-19,10451972.131345617
2023-10-20,10323537.899969293
2023-10-23,10305644.7646995
2023-10-24,10383341.760422848
2023-10-25,10234318.494729413
2023-10-26,10111767.064471468
2023-10-27,10065932.932681024
2023-10-30,10186279.4669154
2023-10-31,10250252.235487513
2023-11-01,10359567.363229107
2023-11-02,10558102.665807797
2023-11-03,10654428.531739345
2023-11-06,10678937.894274274
2023-11-07,10709332.366719231
2023-11-08,10717176.101543736
2023-11-09,10633593.99591036
2023-11-10,10799528.390826095
2023-11-13,10789235.028063362
2023-11-14,10998555.466025745
2023-11-15,11021839.629792955
2023-11-16,11035320.664223963
2023-11-17,11049045.660972416
2023-11-20,11134096.158093737
2023-11-21,11109831.527473466
2023-11-22,11152723.489107506
2023-11-24,11159586.757078947
2023-11-27,11139488.725785585
2023-11-28,11150517.823486721
2023-11-29,11142675.62785665
2023-11-30,11186548.056343751
2023-12-01,11252726.490536649
2023-12-04,11193657.595424281
2023-12-05,11191451.9298035
2023-12-06,11146352.763354244
2023-12-07,11231403.260475565
2023-12-08,11279689.328995883
2023-12-11,11323560.98788577
2023-12-12,11375277.920794593
2023-12-13,11532145.690909747
2023-12-14,11569156.39061984
2023-12-15,11550108.089928973
2023-12-18,11615078.2564929
2023-12-19,11685708.040982593
2023-12-20,11523776.32118678
2023-12-21,11633043.733900987
2023-12-22,11656422.558125755
2023-12-26,11705642.148068964
2023-12-27,11726806.841103572
2023-12-28,11731236.642678322
2023-12-29,11697275.85673486
2024-01-02,11631812.378355538
2024-01-03,11536818.685204724
2024-01-04,11499658.683634745
2024-01-05,11515409.26025546
2024-01-08,11679800.612753304
2024-01-09,11662082.945648735
2024-01-10,11728037.427051803
2024-01-11,11722869.581747001
2024-01-12,11730989.601972016
2024-01-16,11687922.17217275
2024-01-17,11622953.544803256
2024-01-18,11726314.298885392
2024-01-19,11872496.211657703
2024-01-22,11897600.47284053
2024-01-23,11932296.993722396
2024-01-24,11945341.666531987
2024-01-25,12010310.29390148
2024-01-26,11995053.798693378
2024-01-29,12090045.183052547
2024-01-30,12080696.11607373
2024-01-31,11883571.485191796
2024-02-01,12039104.77373457
2024-02-02,12165845.891235905
2024-02-05,12121548.645085622
2024-02-06,12156740.016977314
2024-02-07,12258132.141381167
2024-02-08,12263545.488197843
2024-02-09,12334422.313393839
2024-02-12,12329007.42738273
2024-02-13,12159200.419276563
2024-02-14,12269698.417939004
2024-02-15,12354355.650882998
2024-02-16,12292831.740651894
2024-02-20,12225154.131082416
2024-02-21,12236229.404616505
2024-02-22,12489464.598912867
2024-02-23,12498077.930953277
2024-02-26,12452301.518954026
2024-02-27,12475437.150458563
2024-02-28,12458946.990913367
2024-02-29,12503736.779281827
2024-03-01,12621124.981818266
2024-03-04,12607590.075582143
2024-03-05,12481588.541005295
2024-03-06,12544834.809805593
2024-03-07,12669360.256922334
2024-03-08,12593317.125615966
2024-03-11,12582488.892788181
2024-03-12,12717843.342329925
2024-03-13,12697907.696049118
2024-03-14,12672808.05244959
2024-03-15,12585788.925649984
2024-03-18,12660587.618258232
2024-03-19,12730942.656541847
2024-03-20,12848696.417755838
2024-03-21,12891155.86575454
2024-03-22,12866718.075760689
2024-03-25,12831169.610760815
2024-03-26,12807470.634094233
2024-03-27,12915103.422321858
2024-03-28,12912633.015258804
2024-04-01,12890166.163734887
2024-04-02,12808211.75621315
2024-04-03,12822279.993319897
2024-04-04,12665772.394701784
2024-04-05,12798089.244032351
2024-04-08,12805245.728543052
2024-04-09,12820058.935754795
2024-04-10,12691692.42893347
2024-04-11,12787474.189633371
2024-04-12,12610967.83776275
2024-04-15,12452976.455712374
2024-04-16,12430263.333079366
2024-04-17,12356699.074405428
2024-04-18,12331271.582391923
2024-04-19,12223640.33335873
2024-04-22,12336209.31812917
2024-04-23,12482599.022149779
2024-04-24,12476675.432378957
2024-04-25,12429275.93985136
2024-04-26,12547032.009857003
2024-04-29,12591465.474714499
2024-04-30,12392002.037893428
2024-05-01,12351762.108265396
2024-05-02,12467293.272719856
2024-05-03,12621830.702465251
2024-05-06,12752172.765339805
2024-05-07,12766244.850432629
2024-05-08,12767476.205978077
2024-05-09,12841042.003846448
2024-05-10,12857584.496002328
2024-05-13,12859309.932960385
2024-05-14,12918309.564323321
2024-05-15,13078279.580815788
2024-05-16,13051369.84456445
2024-05-17,13070132.624688217
2024-05-20,13085189.024620185
2024-05-21,13117282.767717859
2024-05-22,13079512.475555668
2024-05-23,12983977.75556207
2024-05-24,13069884.814384695
2024-05-28,13079016.854948627
2024-05-29,12987431.707867054
2024-05-30,12901279.147532556
2024-05-31,13018783.559248596
2024-06-03,13029399.38324479
2024-06-04,13043964.780153012
2024-06-05,13198993.98251937
2024-06-06,13198746.172215847
2024-06-07,13182703.14865309
2024-06-10,13223431.772513218
2024-06-11,13255279.244501805
2024-06-12,13364144.92746931
2024-06-13,13391051.585331786
2024-06-14,13399203.159042653
2024-06-17,13505844.70605619
2024-06-18,13540157.967524538
2024-06-20,13503375.838187568
2024-06-21,13485271.833280617
2024-06-24,13441437.115057094
2024-06-25,13493198.68460444
2024-06-26,13510037.471688444
2024-06-27,13531336.844235834
2024-06-28,13478088.412867358
2024-07-01,13505827.77491744
2024-07-02,13596718.745310267
2024-07-03,13657396.86820109
2024-07-05,13736151.290499093
2024-07-08,13752000.375563443
2024-07-09,13765374.435981441
2024-07-10,13901585.447224487
2024-07-11,13781719.141652834
2024-07-12,13868646.686383748
2024-07-15,13906787.924404005
2024-07-16,13989254.883671533
2024-07-17,13793113.798031524
2024-07-18,13687112.555901617
2024-07-19,13596221.585508792
2024-07-22,13736399.100802612
2024-07-23,13714851.917951703
2024-07-24,13404039.3079474
2024-07-25,13334201.438992875
2024-07-26,13483538.700350396
2024-07-29,13491464.012479788
2024-07-30,13423109.926957529
2024-07-31,13641296.894444354
2024-08-01,13448121.836474445
2024-08-02,13197741.078251874
2024-08-05,12813373.444740226
2024-08-06,12931506.61738166
2024-08-07,12845073.154063357
2024-08-08,13142016.083042618
2024-08-09,13199968.292594703
2024-08-12,13206903.902704442
2024-08-13,13424099.628977181
2024-08-14,13466452.102962872
2024-08-15,13697268.160762701
2024-08-16,13727978.16806618
2024-08-19,13859236.051627658
2024-08-20,13836700.705951525
2024-08-21,13884251.03953344
2024-08-22,13775279.15215014
2024-08-23,13921645.768254269
2024-08-26,13888459.197110008
2024-08-27,13907531.355314568
2024-08-28,13826792.911393963
2024-08-29,13828030.42371714
2024-08-30,13960033.277383616
2024-09-03,13672750.332658397
2024-09-04,13644764.699499223
2024-09-05,13611576.58916053
2024-09-06,13382490.585902056
2024-09-09,13532326.546255486
2024-09-10,13591268.457827227
2024-09-11,13730701.003016053
2024-09-12,13846359.151011135
2024-09-13,13918675.123000875
2024-09-16,13939231.0646377
2024-09-17,13944926.084035398
2024-09-18,13903569.46884709
2024-09-19,14140825.516149614
2024-09-20,14116381.569378033
2024-09-23,14151655.28817183
2024-09-24,14192148.415283894
2024-09-25,14160847.3573186
2024-09-26,14216987.935024446
